+ python /workspace/rn50/multiproc.py --nnodes 1 --node_rank 0 --nproc_per_node 4 --master_addr 127.0.0.1 --master_port=29500 /workspace/rn50/main.py --data-backend dali-cpu --raport-file /workspace/rn50/raport.json -j8 -p 1 --lr 1.024 --optimizer-batch-size -1 --warmup 8 --arch resnet50 -c fanin --label-smoothing 0.1 --lr-schedule cosine --mom 0.125 --wd 3.0517578125e-05 --workspace /workspace/rn50 -b 256 --epochs 1 --prof 150 --training-only --no-checkpoints --amp --dynamic-loss-scale /data/image
=> creating model '('resnet50', 'fanin', 1000)'
Version: {'net': <class 'image_classification.resnet.ResNet'>, 'block': <class 'image_classification.resnet.Bottleneck'>, 'layers': [3, 4, 6, 3], 'widths': [64, 128, 256, 512], 'expansion': 4}
Config: {'conv': <class 'torch.nn.modules.conv.Conv2d'>, 'conv_init': 'fan_in', 'nonlinearity': 'relu', 'last_bn_0_init': False, 'activation': <function <lambda> at 0x7fd9dafc99d8>}
Num classes: 1000
i'm distributed in dali~~~~~~~~~~~~~~~~~
rank in dali:  0
world_size in dali:  4
read 886372 files from 698 directories
read 50000 files from 1000 directories
DLL 2020-09-22 17:13:13.816729 - PARAMETER data : /data/image  data_backend : dali-cpu  arch : resnet50  model_config : fanin  num_classes : 1000  workers : 8  epochs : 1  run_epochs : -1  batch_size : 256  optimizer_batch_size : -1  lr : 1.024  lr_schedule : cosine  warmup : 8  label_smoothing : 0.1  mixup : 0.0  momentum : 0.125  weight_decay : 3.0517578125e-05  bn_weight_decay : False  nesterov : False  print_freq : 1  resume : None  pretrained_weights :   fp16 : False  static_loss_scale : 1  dynamic_loss_scale : True  prof : 150  amp : True  seed : None  gather_checkpoints : False  raport_file : /workspace/rn50/raport.json  evaluate : False  training_only : True  save_checkpoints : False  checkpoint_filename : checkpoint.pth.tar  workspace : /workspace/rn50  memory_format : nchw  distributed : True  local_rank : 0  gpu : 8  world_size : 4 
 ! Weight decay NOT applied to BN parameters 
98
63
Selected optimization level O3:  Pure FP16 training.
Defaults for this optimization level are:
enabled                : True
opt_level              : O3
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : False
master_weights         : False
loss_scale             : 1.0
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O3
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : False
master_weights         : False
loss_scale             : dynamic
RUNNING EPOCHS FROM 0 TO 1
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 32768.0
DLL 2020-09-22 17:13:27.318206 - Epoch: 0 Iteration: 1  train.loss : 7.08691  train.total_ips : 83.43 img/s
Warning:  unscaling grads that are not FP32. Unscaling non-fp32 grads may indicate an error. When using Amp, you don't need to call .half() on your model.
DLL 2020-09-22 17:13:28.045288 - Epoch: 0 Iteration: 2  train.loss : 7.10742  train.total_ips : 1408.50 img/s
DLL 2020-09-22 17:13:28.407588 - Epoch: 0 Iteration: 3  train.loss : 6.96582  train.total_ips : 2827.00 img/s
DLL 2020-09-22 17:13:28.757971 - Epoch: 0 Iteration: 4  train.loss : 6.92773  train.total_ips : 2923.33 img/s
DLL 2020-09-22 17:13:29.109753 - Epoch: 0 Iteration: 5  train.loss : 6.84766  train.total_ips : 2911.63 img/s
DLL 2020-09-22 17:13:29.458735 - Epoch: 0 Iteration: 6  train.loss : 6.82129  train.total_ips : 2935.02 img/s
DLL 2020-09-22 17:13:29.808752 - Epoch: 0 Iteration: 7  train.loss : 6.81348  train.total_ips : 2926.06 img/s
DLL 2020-09-22 17:13:30.159856 - Epoch: 0 Iteration: 8  train.loss : 6.78711  train.total_ips : 2917.20 img/s
DLL 2020-09-22 17:13:30.509368 - Epoch: 0 Iteration: 9  train.loss : 6.86230  train.total_ips : 2930.45 img/s
DLL 2020-09-22 17:13:30.858674 - Epoch: 0 Iteration: 10  train.loss : 6.76758  train.total_ips : 2932.28 img/s
DLL 2020-09-22 17:13:31.208505 - Epoch: 0 Iteration: 11  train.loss : 6.81641  train.total_ips : 2927.78 img/s
DLL 2020-09-22 17:13:31.557629 - Epoch: 0 Iteration: 12  train.loss : 6.77637  train.total_ips : 2933.72 img/s
DLL 2020-09-22 17:13:31.911204 - Epoch: 0 Iteration: 13  train.loss : 6.73340  train.total_ips : 2897.97 img/s
DLL 2020-09-22 17:13:32.265133 - Epoch: 0 Iteration: 14  train.loss : 6.77930  train.total_ips : 2894.09 img/s
DLL 2020-09-22 17:13:32.615519 - Epoch: 0 Iteration: 15  train.loss : 6.78223  train.total_ips : 2923.12 img/s
DLL 2020-09-22 17:13:32.980531 - Epoch: 0 Iteration: 16  train.loss : 6.75781  train.total_ips : 2806.20 img/s
DLL 2020-09-22 17:13:33.331381 - Epoch: 0 Iteration: 17  train.loss : 6.77930  train.total_ips : 2919.96 img/s
DLL 2020-09-22 17:13:33.680598 - Epoch: 0 Iteration: 18  train.loss : 6.75684  train.total_ips : 2933.15 img/s
DLL 2020-09-22 17:13:34.038539 - Epoch: 0 Iteration: 19  train.loss : 6.73926  train.total_ips : 2861.28 img/s
DLL 2020-09-22 17:13:34.388213 - Epoch: 0 Iteration: 20  train.loss : 6.73828  train.total_ips : 2929.02 img/s
DLL 2020-09-22 17:13:34.737925 - Epoch: 0 Iteration: 21  train.loss : 6.72070  train.total_ips : 2928.88 img/s
DLL 2020-09-22 17:13:35.094273 - Epoch: 0 Iteration: 22  train.loss : 6.76660  train.total_ips : 2875.02 img/s
DLL 2020-09-22 17:13:35.443693 - Epoch: 0 Iteration: 23  train.loss : 6.73438  train.total_ips : 2931.66 img/s
DLL 2020-09-22 17:13:35.802524 - Epoch: 0 Iteration: 24  train.loss : 6.73828  train.total_ips : 2854.54 img/s
DLL 2020-09-22 17:13:36.157734 - Epoch: 0 Iteration: 25  train.loss : 6.71094  train.total_ips : 2883.58 img/s
DLL 2020-09-22 17:13:36.514181 - Epoch: 0 Iteration: 26  train.loss : 6.78027  train.total_ips : 2873.71 img/s
DLL 2020-09-22 17:13:36.863192 - Epoch: 0 Iteration: 27  train.loss : 6.71094  train.total_ips : 2934.76 img/s
DLL 2020-09-22 17:13:37.215711 - Epoch: 0 Iteration: 28  train.loss : 6.71094  train.total_ips : 2905.59 img/s
DLL 2020-09-22 17:13:37.567527 - Epoch: 0 Iteration: 29  train.loss : 6.73535  train.total_ips : 2912.49 img/s
DLL 2020-09-22 17:13:37.923435 - Epoch: 0 Iteration: 30  train.loss : 6.69141  train.total_ips : 2878.06 img/s
DLL 2020-09-22 17:13:38.278253 - Epoch: 0 Iteration: 31  train.loss : 6.72754  train.total_ips : 2888.77 img/s
DLL 2020-09-22 17:13:38.637661 - Epoch: 0 Iteration: 32  train.loss : 6.72168  train.total_ips : 2849.49 img/s
DLL 2020-09-22 17:13:38.988028 - Epoch: 0 Iteration: 33  train.loss : 6.69531  train.total_ips : 2923.24 img/s
DLL 2020-09-22 17:13:39.337864 - Epoch: 0 Iteration: 34  train.loss : 6.70020  train.total_ips : 2928.14 img/s
DLL 2020-09-22 17:13:39.700043 - Epoch: 0 Iteration: 35  train.loss : 6.71875  train.total_ips : 2828.12 img/s
DLL 2020-09-22 17:13:40.050047 - Epoch: 0 Iteration: 36  train.loss : 6.69629  train.total_ips : 2926.96 img/s
DLL 2020-09-22 17:13:40.400408 - Epoch: 0 Iteration: 37  train.loss : 6.69922  train.total_ips : 2923.31 img/s
DLL 2020-09-22 17:13:40.751574 - Epoch: 0 Iteration: 38  train.loss : 6.70898  train.total_ips : 2916.84 img/s
DLL 2020-09-22 17:13:41.103014 - Epoch: 0 Iteration: 39  train.loss : 6.70801  train.total_ips : 2914.30 img/s
DLL 2020-09-22 17:13:41.452830 - Epoch: 0 Iteration: 40  train.loss : 6.70801  train.total_ips : 2927.93 img/s
DLL 2020-09-22 17:13:41.802382 - Epoch: 0 Iteration: 41  train.loss : 6.68750  train.total_ips : 2930.16 img/s
DLL 2020-09-22 17:13:42.154674 - Epoch: 0 Iteration: 42  train.loss : 6.67578  train.total_ips : 2908.95 img/s
DLL 2020-09-22 17:13:42.504915 - Epoch: 0 Iteration: 43  train.loss : 6.72070  train.total_ips : 2924.01 img/s
DLL 2020-09-22 17:13:42.856258 - Epoch: 0 Iteration: 44  train.loss : 6.72070  train.total_ips : 2915.36 img/s
DLL 2020-09-22 17:13:43.207192 - Epoch: 0 Iteration: 45  train.loss : 6.70801  train.total_ips : 2918.93 img/s
DLL 2020-09-22 17:13:43.559795 - Epoch: 0 Iteration: 46  train.loss : 6.69531  train.total_ips : 2905.09 img/s
DLL 2020-09-22 17:13:43.910079 - Epoch: 0 Iteration: 47  train.loss : 6.67773  train.total_ips : 2924.20 img/s
DLL 2020-09-22 17:13:44.260806 - Epoch: 0 Iteration: 48  train.loss : 6.70410  train.total_ips : 2920.17 img/s
DLL 2020-09-22 17:13:44.610476 - Epoch: 0 Iteration: 49  train.loss : 6.69336  train.total_ips : 2929.24 img/s
DLL 2020-09-22 17:13:44.960343 - Epoch: 0 Iteration: 50  train.loss : 6.68457  train.total_ips : 2927.49 img/s
DLL 2020-09-22 17:13:45.312171 - Epoch: 0 Iteration: 51  train.loss : 6.68750  train.total_ips : 2911.28 img/s
DLL 2020-09-22 17:13:45.661751 - Epoch: 0 Iteration: 52  train.loss : 6.69531  train.total_ips : 2929.84 img/s
DLL 2020-09-22 17:13:46.011506 - Epoch: 0 Iteration: 53  train.loss : 6.68066  train.total_ips : 2928.45 img/s
DLL 2020-09-22 17:13:46.363093 - Epoch: 0 Iteration: 54  train.loss : 6.72559  train.total_ips : 2913.19 img/s
DLL 2020-09-22 17:13:46.712798 - Epoch: 0 Iteration: 55  train.loss : 6.68066  train.total_ips : 2928.88 img/s
DLL 2020-09-22 17:13:47.061897 - Epoch: 0 Iteration: 56  train.loss : 6.68457  train.total_ips : 2933.97 img/s
DLL 2020-09-22 17:13:47.413937 - Epoch: 0 Iteration: 57  train.loss : 6.66113  train.total_ips : 2909.65 img/s
DLL 2020-09-22 17:13:47.770658 - Epoch: 0 Iteration: 58  train.loss : 6.68164  train.total_ips : 2871.93 img/s
DLL 2020-09-22 17:13:48.120885 - Epoch: 0 Iteration: 59  train.loss : 6.69434  train.total_ips : 2924.22 img/s
DLL 2020-09-22 17:13:48.471312 - Epoch: 0 Iteration: 60  train.loss : 6.68945  train.total_ips : 2922.93 img/s
DLL 2020-09-22 17:13:48.821455 - Epoch: 0 Iteration: 61  train.loss : 6.68066  train.total_ips : 2925.30 img/s
DLL 2020-09-22 17:13:49.171904 - Epoch: 0 Iteration: 62  train.loss : 6.65234  train.total_ips : 2922.99 img/s
DLL 2020-09-22 17:13:49.520896 - Epoch: 0 Iteration: 63  train.loss : 6.69434  train.total_ips : 2935.01 img/s
DLL 2020-09-22 17:13:49.870040 - Epoch: 0 Iteration: 64  train.loss : 6.66504  train.total_ips : 2934.26 img/s
DLL 2020-09-22 17:13:50.227842 - Epoch: 0 Iteration: 65  train.loss : 6.68652  train.total_ips : 2862.85 img/s
DLL 2020-09-22 17:13:50.576571 - Epoch: 0 Iteration: 66  train.loss : 6.67188  train.total_ips : 2937.07 img/s
DLL 2020-09-22 17:13:50.926367 - Epoch: 0 Iteration: 67  train.loss : 6.68457  train.total_ips : 2928.04 img/s
DLL 2020-09-22 17:13:51.275588 - Epoch: 0 Iteration: 68  train.loss : 6.63965  train.total_ips : 2932.89 img/s
DLL 2020-09-22 17:13:51.625382 - Epoch: 0 Iteration: 69  train.loss : 6.70508  train.total_ips : 2928.10 img/s
DLL 2020-09-22 17:13:51.976373 - Epoch: 0 Iteration: 70  train.loss : 6.65039  train.total_ips : 2918.10 img/s
DLL 2020-09-22 17:13:52.327199 - Epoch: 0 Iteration: 71  train.loss : 6.69434  train.total_ips : 2919.46 img/s
DLL 2020-09-22 17:13:52.678080 - Epoch: 0 Iteration: 72  train.loss : 6.63965  train.total_ips : 2919.01 img/s
DLL 2020-09-22 17:13:53.028580 - Epoch: 0 Iteration: 73  train.loss : 6.64844  train.total_ips : 2922.20 img/s
DLL 2020-09-22 17:13:53.378369 - Epoch: 0 Iteration: 74  train.loss : 6.67285  train.total_ips : 2928.12 img/s
DLL 2020-09-22 17:13:53.729107 - Epoch: 0 Iteration: 75  train.loss : 6.65234  train.total_ips : 2920.24 img/s
DLL 2020-09-22 17:13:54.082514 - Epoch: 0 Iteration: 76  train.loss : 6.65332  train.total_ips : 2898.49 img/s
DLL 2020-09-22 17:13:54.434108 - Epoch: 0 Iteration: 77  train.loss : 6.68066  train.total_ips : 2913.22 img/s
DLL 2020-09-22 17:13:54.786880 - Epoch: 0 Iteration: 78  train.loss : 6.67578  train.total_ips : 2904.44 img/s
DLL 2020-09-22 17:13:55.140575 - Epoch: 0 Iteration: 79  train.loss : 6.65137  train.total_ips : 2896.29 img/s
DLL 2020-09-22 17:13:55.490684 - Epoch: 0 Iteration: 80  train.loss : 6.66992  train.total_ips : 2925.55 img/s
DLL 2020-09-22 17:13:55.840068 - Epoch: 0 Iteration: 81  train.loss : 6.65625  train.total_ips : 2931.56 img/s
DLL 2020-09-22 17:13:56.189823 - Epoch: 0 Iteration: 82  train.loss : 6.64355  train.total_ips : 2928.39 img/s
DLL 2020-09-22 17:13:56.540224 - Epoch: 0 Iteration: 83  train.loss : 6.66016  train.total_ips : 2923.02 img/s
DLL 2020-09-22 17:13:56.891786 - Epoch: 0 Iteration: 84  train.loss : 6.67871  train.total_ips : 2913.42 img/s
DLL 2020-09-22 17:13:57.243062 - Epoch: 0 Iteration: 85  train.loss : 6.66992  train.total_ips : 2915.76 img/s
DLL 2020-09-22 17:13:57.598330 - Epoch: 0 Iteration: 86  train.loss : 6.66113  train.total_ips : 2882.96 img/s
DLL 2020-09-22 17:13:57.949889 - Epoch: 0 Iteration: 87  train.loss : 6.65723  train.total_ips : 2913.40 img/s
DLL 2020-09-22 17:13:58.299698 - Epoch: 0 Iteration: 88  train.loss : 6.64551  train.total_ips : 2927.98 img/s
DLL 2020-09-22 17:13:58.651082 - Epoch: 0 Iteration: 89  train.loss : 6.66992  train.total_ips : 2914.84 img/s
DLL 2020-09-22 17:13:59.001251 - Epoch: 0 Iteration: 90  train.loss : 6.62988  train.total_ips : 2924.97 img/s
DLL 2020-09-22 17:13:59.350431 - Epoch: 0 Iteration: 91  train.loss : 6.64746  train.total_ips : 2933.24 img/s
DLL 2020-09-22 17:13:59.708670 - Epoch: 0 Iteration: 92  train.loss : 6.65039  train.total_ips : 2859.75 img/s
DLL 2020-09-22 17:14:00.065605 - Epoch: 0 Iteration: 93  train.loss : 6.61816  train.total_ips : 2869.56 img/s
DLL 2020-09-22 17:14:00.415685 - Epoch: 0 Iteration: 94  train.loss : 6.66699  train.total_ips : 2925.60 img/s
DLL 2020-09-22 17:14:00.765091 - Epoch: 0 Iteration: 95  train.loss : 6.66113  train.total_ips : 2931.38 img/s
DLL 2020-09-22 17:14:01.116723 - Epoch: 0 Iteration: 96  train.loss : 6.68262  train.total_ips : 2913.21 img/s
DLL 2020-09-22 17:14:01.480730 - Epoch: 0 Iteration: 97  train.loss : 6.67383  train.total_ips : 2814.20 img/s
DLL 2020-09-22 17:14:01.835330 - Epoch: 0 Iteration: 98  train.loss : 6.66699  train.total_ips : 2889.41 img/s
DLL 2020-09-22 17:14:02.184661 - Epoch: 0 Iteration: 99  train.loss : 6.64258  train.total_ips : 2931.55 img/s
DLL 2020-09-22 17:14:02.534281 - Epoch: 0 Iteration: 100  train.loss : 6.64746  train.total_ips : 2929.54 img/s
DLL 2020-09-22 17:14:02.887152 - Epoch: 0 Iteration: 101  train.loss : 6.61816  train.total_ips : 2902.55 img/s
DLL 2020-09-22 17:14:03.236817 - Epoch: 0 Iteration: 102  train.loss : 6.65332  train.total_ips : 2929.16 img/s
DLL 2020-09-22 17:14:03.586967 - Epoch: 0 Iteration: 103  train.loss : 6.63477  train.total_ips : 2925.12 img/s
DLL 2020-09-22 17:14:03.938512 - Epoch: 0 Iteration: 104  train.loss : 6.66016  train.total_ips : 2913.48 img/s
DLL 2020-09-22 17:14:04.287951 - Epoch: 0 Iteration: 105  train.loss : 6.60938  train.total_ips : 2931.10 img/s
DLL 2020-09-22 17:14:04.636880 - Epoch: 0 Iteration: 106  train.loss : 6.62695  train.total_ips : 2935.40 img/s
DLL 2020-09-22 17:14:04.987088 - Epoch: 0 Iteration: 107  train.loss : 6.62793  train.total_ips : 2924.65 img/s
DLL 2020-09-22 17:14:05.336294 - Epoch: 0 Iteration: 108  train.loss : 6.64258  train.total_ips : 2933.00 img/s
DLL 2020-09-22 17:14:05.688053 - Epoch: 0 Iteration: 109  train.loss : 6.62402  train.total_ips : 2911.75 img/s
DLL 2020-09-22 17:14:06.044567 - Epoch: 0 Iteration: 110  train.loss : 6.62695  train.total_ips : 2873.51 img/s
DLL 2020-09-22 17:14:06.395252 - Epoch: 0 Iteration: 111  train.loss : 6.66699  train.total_ips : 2921.22 img/s
DLL 2020-09-22 17:14:06.745968 - Epoch: 0 Iteration: 112  train.loss : 6.63379  train.total_ips : 2920.47 img/s
DLL 2020-09-22 17:14:07.096450 - Epoch: 0 Iteration: 113  train.loss : 6.65234  train.total_ips : 2922.39 img/s
DLL 2020-09-22 17:14:07.447218 - Epoch: 0 Iteration: 114  train.loss : 6.59082  train.total_ips : 2920.32 img/s
DLL 2020-09-22 17:14:07.801469 - Epoch: 0 Iteration: 115  train.loss : 6.60352  train.total_ips : 2893.67 img/s
DLL 2020-09-22 17:14:08.150883 - Epoch: 0 Iteration: 116  train.loss : 6.62598  train.total_ips : 2930.42 img/s
DLL 2020-09-22 17:14:08.500570 - Epoch: 0 Iteration: 117  train.loss : 6.59863  train.total_ips : 2929.00 img/s
DLL 2020-09-22 17:14:08.851561 - Epoch: 0 Iteration: 118  train.loss : 6.64062  train.total_ips : 2918.13 img/s
DLL 2020-09-22 17:14:09.201361 - Epoch: 0 Iteration: 119  train.loss : 6.60840  train.total_ips : 2928.07 img/s
DLL 2020-09-22 17:14:09.553525 - Epoch: 0 Iteration: 120  train.loss : 6.62793  train.total_ips : 2908.37 img/s
DLL 2020-09-22 17:14:09.903460 - Epoch: 0 Iteration: 121  train.loss : 6.62988  train.total_ips : 2926.94 img/s
DLL 2020-09-22 17:14:10.253671 - Epoch: 0 Iteration: 122  train.loss : 6.62012  train.total_ips : 2924.57 img/s
DLL 2020-09-22 17:14:10.604308 - Epoch: 0 Iteration: 123  train.loss : 6.61230  train.total_ips : 2921.04 img/s
DLL 2020-09-22 17:14:10.955110 - Epoch: 0 Iteration: 124  train.loss : 6.61230  train.total_ips : 2919.70 img/s
DLL 2020-09-22 17:14:11.307100 - Epoch: 0 Iteration: 125  train.loss : 6.61816  train.total_ips : 2909.80 img/s
DLL 2020-09-22 17:14:11.657228 - Epoch: 0 Iteration: 126  train.loss : 6.62402  train.total_ips : 2925.30 img/s
DLL 2020-09-22 17:14:12.014560 - Epoch: 0 Iteration: 127  train.loss : 6.60254  train.total_ips : 2867.05 img/s
DLL 2020-09-22 17:14:12.365345 - Epoch: 0 Iteration: 128  train.loss : 6.58789  train.total_ips : 2919.97 img/s
DLL 2020-09-22 17:14:12.720082 - Epoch: 0 Iteration: 129  train.loss : 6.60645  train.total_ips : 2887.31 img/s
DLL 2020-09-22 17:14:13.072772 - Epoch: 0 Iteration: 130  train.loss : 6.62207  train.total_ips : 2904.22 img/s
DLL 2020-09-22 17:14:13.427272 - Epoch: 0 Iteration: 131  train.loss : 6.59766  train.total_ips : 2889.18 img/s
DLL 2020-09-22 17:14:13.781743 - Epoch: 0 Iteration: 132  train.loss : 6.57031  train.total_ips : 2890.17 img/s
DLL 2020-09-22 17:14:14.131826 - Epoch: 0 Iteration: 133  train.loss : 6.58594  train.total_ips : 2925.45 img/s
DLL 2020-09-22 17:14:14.481869 - Epoch: 0 Iteration: 134  train.loss : 6.54297  train.total_ips : 2925.99 img/s
DLL 2020-09-22 17:14:14.833941 - Epoch: 0 Iteration: 135  train.loss : 6.56641  train.total_ips : 2909.17 img/s
DLL 2020-09-22 17:14:15.183122 - Epoch: 0 Iteration: 136  train.loss : 6.57324  train.total_ips : 2933.26 img/s
DLL 2020-09-22 17:14:15.532714 - Epoch: 0 Iteration: 137  train.loss : 6.56348  train.total_ips : 2930.38 img/s
DLL 2020-09-22 17:14:15.881917 - Epoch: 0 Iteration: 138  train.loss : 6.51562  train.total_ips : 2933.02 img/s
DLL 2020-09-22 17:14:16.232240 - Epoch: 0 Iteration: 139  train.loss : 6.59473  train.total_ips : 2923.63 img/s
DLL 2020-09-22 17:14:16.582748 - Epoch: 0 Iteration: 140  train.loss : 6.57227  train.total_ips : 2922.44 img/s
DLL 2020-09-22 17:14:16.932990 - Epoch: 0 Iteration: 141  train.loss : 6.57812  train.total_ips : 2924.24 img/s
DLL 2020-09-22 17:14:17.283381 - Epoch: 0 Iteration: 142  train.loss : 6.63672  train.total_ips : 2923.04 img/s
DLL 2020-09-22 17:14:17.637434 - Epoch: 0 Iteration: 143  train.loss : 6.57812  train.total_ips : 2892.83 img/s
DLL 2020-09-22 17:14:17.995315 - Epoch: 0 Iteration: 144  train.loss : 6.56836  train.total_ips : 2862.36 img/s
DLL 2020-09-22 17:14:18.345545 - Epoch: 0 Iteration: 145  train.loss : 6.52734  train.total_ips : 2924.52 img/s
DLL 2020-09-22 17:14:18.705660 - Epoch: 0 Iteration: 146  train.loss : 6.55078  train.total_ips : 2844.76 img/s
DLL 2020-09-22 17:14:19.055415 - Epoch: 0 Iteration: 147  train.loss : 6.53906  train.total_ips : 2928.19 img/s
DLL 2020-09-22 17:14:19.407309 - Epoch: 0 Iteration: 148  train.loss : 6.52832  train.total_ips : 2911.57 img/s
DLL 2020-09-22 17:14:19.759669 - Epoch: 0 Iteration: 149  train.loss : 6.54883  train.total_ips : 2906.90 img/s
DLL 2020-09-22 17:14:20.113644 - Epoch: 0  train.loss : 6.67579  train.total_ips : 2882.83 img/s
DLL 2020-09-22 17:14:20.113937 - Epoch: 0  lr : 0.128  train.compute_ips : 2893.09 img/s train.data_time : 0.00126 s train.compute_time : 0.43243 s
DLL 2020-09-22 17:14:20.114185 - Summary: train.loss : 6.67579  train.total_ips : 2882.83 img/s
