+ python /workspace/rn50/multiproc.py --nnodes 1 --node_rank 0 --nproc_per_node 4 --master_addr 127.0.0.1 --master_port=29500 /workspace/rn50/main.py --data-backend dali-cpu --raport-file /workspace/rn50/raport.json -j8 -p 1 --lr 1.024 --optimizer-batch-size -1 --warmup 8 --arch resnet50 -c fanin --label-smoothing 0.1 --lr-schedule cosine --mom 0.125 --wd 3.0517578125e-05 --workspace /workspace/rn50 -b 256 --epochs 1 --prof 150 --training-only --no-checkpoints --amp --dynamic-loss-scale /data/image
=> creating model '('resnet50', 'fanin', 1000)'
Version: {'net': <class 'image_classification.resnet.ResNet'>, 'block': <class 'image_classification.resnet.Bottleneck'>, 'layers': [3, 4, 6, 3], 'widths': [64, 128, 256, 512], 'expansion': 4}
Config: {'conv': <class 'torch.nn.modules.conv.Conv2d'>, 'conv_init': 'fan_in', 'nonlinearity': 'relu', 'last_bn_0_init': False, 'activation': <function <lambda> at 0x7fb9505139d8>}
Num classes: 1000
i'm distributed in dali~~~~~~~~~~~~~~~~~
rank in dali:  0
world_size in dali:  4
read 886372 files from 698 directories
read 50000 files from 1000 directories
DLL 2020-09-22 17:14:57.891670 - PARAMETER data : /data/image  data_backend : dali-cpu  arch : resnet50  model_config : fanin  num_classes : 1000  workers : 8  epochs : 1  run_epochs : -1  batch_size : 256  optimizer_batch_size : -1  lr : 1.024  lr_schedule : cosine  warmup : 8  label_smoothing : 0.1  mixup : 0.0  momentum : 0.125  weight_decay : 3.0517578125e-05  bn_weight_decay : False  nesterov : False  print_freq : 1  resume : None  pretrained_weights :   fp16 : False  static_loss_scale : 1  dynamic_loss_scale : True  prof : 150  amp : True  seed : None  gather_checkpoints : False  raport_file : /workspace/rn50/raport.json  evaluate : False  training_only : True  save_checkpoints : False  checkpoint_filename : checkpoint.pth.tar  workspace : /workspace/rn50  memory_format : nchw  distributed : True  local_rank : 0  gpu : 8  world_size : 4 
 ! Weight decay NOT applied to BN parameters 
98
63
Selected optimization level O3:  Pure FP16 training.
Defaults for this optimization level are:
enabled                : True
opt_level              : O3
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : False
master_weights         : False
loss_scale             : 1.0
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O3
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : False
master_weights         : False
loss_scale             : dynamic
RUNNING EPOCHS FROM 0 TO 1
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 32768.0
DLL 2020-09-22 17:15:10.874808 - Epoch: 0 Iteration: 1  train.loss : 7.14258  train.total_ips : 86.48 img/s
Warning:  unscaling grads that are not FP32. Unscaling non-fp32 grads may indicate an error. When using Amp, you don't need to call .half() on your model.
DLL 2020-09-22 17:15:11.545206 - Epoch: 0 Iteration: 2  train.loss : 7.11035  train.total_ips : 1527.78 img/s
DLL 2020-09-22 17:15:11.898619 - Epoch: 0 Iteration: 3  train.loss : 6.96875  train.total_ips : 2897.96 img/s
DLL 2020-09-22 17:15:12.251060 - Epoch: 0 Iteration: 4  train.loss : 6.94141  train.total_ips : 2906.14 img/s
DLL 2020-09-22 17:15:12.605195 - Epoch: 0 Iteration: 5  train.loss : 6.83984  train.total_ips : 2892.18 img/s
DLL 2020-09-22 17:15:12.959247 - Epoch: 0 Iteration: 6  train.loss : 6.81543  train.total_ips : 2892.91 img/s
DLL 2020-09-22 17:15:13.321793 - Epoch: 0 Iteration: 7  train.loss : 6.81445  train.total_ips : 2825.81 img/s
DLL 2020-09-22 17:15:13.680101 - Epoch: 0 Iteration: 8  train.loss : 6.78027  train.total_ips : 2858.31 img/s
DLL 2020-09-22 17:15:14.030076 - Epoch: 0 Iteration: 9  train.loss : 6.80371  train.total_ips : 2926.64 img/s
DLL 2020-09-22 17:15:14.387831 - Epoch: 0 Iteration: 10  train.loss : 6.79688  train.total_ips : 2862.99 img/s
DLL 2020-09-22 17:15:14.738221 - Epoch: 0 Iteration: 11  train.loss : 6.83496  train.total_ips : 2923.28 img/s
DLL 2020-09-22 17:15:15.097802 - Epoch: 0 Iteration: 12  train.loss : 6.78223  train.total_ips : 2848.56 img/s
DLL 2020-09-22 17:15:15.447603 - Epoch: 0 Iteration: 13  train.loss : 6.76465  train.total_ips : 2929.28 img/s
DLL 2020-09-22 17:15:15.797187 - Epoch: 0 Iteration: 14  train.loss : 6.79688  train.total_ips : 2929.84 img/s
DLL 2020-09-22 17:15:16.156070 - Epoch: 0 Iteration: 15  train.loss : 6.75879  train.total_ips : 2853.81 img/s
DLL 2020-09-22 17:15:16.507664 - Epoch: 0 Iteration: 16  train.loss : 6.80176  train.total_ips : 2913.33 img/s
DLL 2020-09-22 17:15:16.862003 - Epoch: 0 Iteration: 17  train.loss : 6.76367  train.total_ips : 2890.45 img/s
DLL 2020-09-22 17:15:17.215671 - Epoch: 0 Iteration: 18  train.loss : 6.71582  train.total_ips : 2896.01 img/s
DLL 2020-09-22 17:15:17.566380 - Epoch: 0 Iteration: 19  train.loss : 6.74121  train.total_ips : 2920.43 img/s
DLL 2020-09-22 17:15:17.916681 - Epoch: 0 Iteration: 20  train.loss : 6.73730  train.total_ips : 2923.87 img/s
DLL 2020-09-22 17:15:18.266974 - Epoch: 0 Iteration: 21  train.loss : 6.72949  train.total_ips : 2924.01 img/s
DLL 2020-09-22 17:15:18.617137 - Epoch: 0 Iteration: 22  train.loss : 6.74609  train.total_ips : 2925.06 img/s
DLL 2020-09-22 17:15:18.966491 - Epoch: 0 Iteration: 23  train.loss : 6.74707  train.total_ips : 2931.80 img/s
DLL 2020-09-22 17:15:19.318626 - Epoch: 0 Iteration: 24  train.loss : 6.76270  train.total_ips : 2908.59 img/s
DLL 2020-09-22 17:15:19.668792 - Epoch: 0 Iteration: 25  train.loss : 6.72363  train.total_ips : 2925.52 img/s
DLL 2020-09-22 17:15:20.018297 - Epoch: 0 Iteration: 26  train.loss : 6.77246  train.total_ips : 2930.22 img/s
DLL 2020-09-22 17:15:20.374617 - Epoch: 0 Iteration: 27  train.loss : 6.78223  train.total_ips : 2874.79 img/s
DLL 2020-09-22 17:15:20.724533 - Epoch: 0 Iteration: 28  train.loss : 6.70605  train.total_ips : 2927.05 img/s
DLL 2020-09-22 17:15:21.076331 - Epoch: 0 Iteration: 29  train.loss : 6.72461  train.total_ips : 2911.48 img/s
DLL 2020-09-22 17:15:21.430523 - Epoch: 0 Iteration: 30  train.loss : 6.72070  train.total_ips : 2891.72 img/s
