+ python /workspace/rn50/multiproc.py --nnodes 1 --node_rank 0 --nproc_per_node 8 --master_addr 127.0.0.1 --master_port=29500 /workspace/rn50/main.py --data-backend dali-cpu --raport-file /workspace/rn50/raport.json -j8 -p 1 --lr 2.048 --optimizer-batch-size -1 --warmup 8 --arch resnet50 -c fanin --label-smoothing 0.1 --lr-schedule cosine --mom 0.125 --wd 3.0517578125e-05 --workspace /workspace/rn50 -b 256 --epochs 1 --prof 150 --training-only --no-checkpoints --amp --dynamic-loss-scale /data/image
=> creating model '('resnet50', 'fanin', 1000)'
Version: {'net': <class 'image_classification.resnet.ResNet'>, 'block': <class 'image_classification.resnet.Bottleneck'>, 'layers': [3, 4, 6, 3], 'widths': [64, 128, 256, 512], 'expansion': 4}
Config: {'conv': <class 'torch.nn.modules.conv.Conv2d'>, 'conv_init': 'fan_in', 'nonlinearity': 'relu', 'last_bn_0_init': False, 'activation': <function <lambda> at 0x7f31ee98e9d8>}
Num classes: 1000
i'm distributed in dali~~~~~~~~~~~~~~~~~
rank in dali:  0
world_size in dali:  8
read 886372 files from 698 directories
/opt/dali/dali/image/jpeg_mem.cc:338: Premature end of JPEG data. Stopped at line 272/440
read 50000 files from 1000 directories
DLL 2020-09-22 17:16:43.407318 - PARAMETER data : /data/image  data_backend : dali-cpu  arch : resnet50  model_config : fanin  num_classes : 1000  workers : 8  epochs : 1  run_epochs : -1  batch_size : 256  optimizer_batch_size : -1  lr : 2.048  lr_schedule : cosine  warmup : 8  label_smoothing : 0.1  mixup : 0.0  momentum : 0.125  weight_decay : 3.0517578125e-05  bn_weight_decay : False  nesterov : False  print_freq : 1  resume : None  pretrained_weights :   fp16 : False  static_loss_scale : 1  dynamic_loss_scale : True  prof : 150  amp : True  seed : None  gather_checkpoints : False  raport_file : /workspace/rn50/raport.json  evaluate : False  training_only : True  save_checkpoints : False  checkpoint_filename : checkpoint.pth.tar  workspace : /workspace/rn50  memory_format : nchw  distributed : True  local_rank : 0  gpu : 8  world_size : 8 
 ! Weight decay NOT applied to BN parameters 
98
63
Selected optimization level O3:  Pure FP16 training.
Defaults for this optimization level are:
enabled                : True
opt_level              : O3
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : False
master_weights         : False
loss_scale             : 1.0
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O3
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : False
master_weights         : False
loss_scale             : dynamic
RUNNING EPOCHS FROM 0 TO 1
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 32768.0
DLL 2020-09-22 17:17:01.384467 - Epoch: 0 Iteration: 1  train.loss : 7.08984  train.total_ips : 136.19 img/s
Warning:  unscaling grads that are not FP32. Unscaling non-fp32 grads may indicate an error. When using Amp, you don't need to call .half() on your model.
DLL 2020-09-22 17:17:02.112773 - Epoch: 0 Iteration: 2  train.loss : 7.11670  train.total_ips : 2812.20 img/s
DLL 2020-09-22 17:17:02.627441 - Epoch: 0 Iteration: 3  train.loss : 6.99854  train.total_ips : 3979.87 img/s
DLL 2020-09-22 17:17:02.992763 - Epoch: 0 Iteration: 4  train.loss : 6.89697  train.total_ips : 5607.85 img/s
DLL 2020-09-22 17:17:03.346247 - Epoch: 0 Iteration: 5  train.loss : 6.96875  train.total_ips : 5794.99 img/s
DLL 2020-09-22 17:17:03.706543 - Epoch: 0 Iteration: 6  train.loss : 6.96338  train.total_ips : 5686.33 img/s
DLL 2020-09-22 17:17:04.155634 - Epoch: 0 Iteration: 7  train.loss : 6.82471  train.total_ips : 4562.24 img/s
DLL 2020-09-22 17:17:04.516239 - Epoch: 0 Iteration: 8  train.loss : 6.91211  train.total_ips : 5682.98 img/s
DLL 2020-09-22 17:17:04.871831 - Epoch: 0 Iteration: 9  train.loss : 6.89795  train.total_ips : 5760.62 img/s
DLL 2020-09-22 17:17:05.230013 - Epoch: 0 Iteration: 10  train.loss : 6.92090  train.total_ips : 5719.53 img/s
DLL 2020-09-22 17:17:05.591844 - Epoch: 0 Iteration: 11  train.loss : 6.90967  train.total_ips : 5661.85 img/s
DLL 2020-09-22 17:17:05.950031 - Epoch: 0 Iteration: 12  train.loss : 6.93750  train.total_ips : 5719.39 img/s
DLL 2020-09-22 17:17:06.344730 - Epoch: 0 Iteration: 13  train.loss : 6.87939  train.total_ips : 5191.16 img/s
DLL 2020-09-22 17:17:06.768811 - Epoch: 0 Iteration: 14  train.loss : 6.82812  train.total_ips : 4829.87 img/s
DLL 2020-09-22 17:17:07.157733 - Epoch: 0 Iteration: 15  train.loss : 6.97021  train.total_ips : 5267.83 img/s
DLL 2020-09-22 17:17:07.515099 - Epoch: 0 Iteration: 16  train.loss : 6.84180  train.total_ips : 5732.49 img/s
DLL 2020-09-22 17:17:07.976778 - Epoch: 0 Iteration: 17  train.loss : 6.87158  train.total_ips : 4436.92 img/s
DLL 2020-09-22 17:17:08.431172 - Epoch: 0 Iteration: 18  train.loss : 6.83008  train.total_ips : 4509.21 img/s
DLL 2020-09-22 17:17:08.879462 - Epoch: 0 Iteration: 19  train.loss : 6.82227  train.total_ips : 4569.21 img/s
