+ python /workspace/rn50/multiproc.py --nnodes 1 --node_rank 0 --nproc_per_node 8 --master_addr 127.0.0.1 --master_port=29500 /workspace/rn50/main.py --data-backend dali-cpu --raport-file /workspace/rn50/raport.json -j8 -p 1 --lr 2.048 --optimizer-batch-size -1 --warmup 8 --arch resnet50 -c fanin --label-smoothing 0.1 --lr-schedule cosine --mom 0.125 --wd 3.0517578125e-05 --workspace /workspace/rn50 -b 256 --epochs 1 --prof 150 --training-only --no-checkpoints --amp --dynamic-loss-scale /data/image
=> creating model '('resnet50', 'fanin', 1000)'
Version: {'net': <class 'image_classification.resnet.ResNet'>, 'block': <class 'image_classification.resnet.Bottleneck'>, 'layers': [3, 4, 6, 3], 'widths': [64, 128, 256, 512], 'expansion': 4}
Config: {'conv': <class 'torch.nn.modules.conv.Conv2d'>, 'conv_init': 'fan_in', 'nonlinearity': 'relu', 'last_bn_0_init': False, 'activation': <function <lambda> at 0x7fe7551839d8>}
Num classes: 1000
i'm distributed in dali~~~~~~~~~~~~~~~~~
rank in dali:  0
world_size in dali:  8
/opt/dali/dali/image/jpeg_mem.cc:338: Premature end of JPEG data. Stopped at line 272/440
read 886372 files from 698 directories
read 50000 files from 1000 directories
DLL 2020-09-22 17:20:41.524543 - PARAMETER data : /data/image  data_backend : dali-cpu  arch : resnet50  model_config : fanin  num_classes : 1000  workers : 8  epochs : 1  run_epochs : -1  batch_size : 256  optimizer_batch_size : -1  lr : 2.048  lr_schedule : cosine  warmup : 8  label_smoothing : 0.1  mixup : 0.0  momentum : 0.125  weight_decay : 3.0517578125e-05  bn_weight_decay : False  nesterov : False  print_freq : 1  resume : None  pretrained_weights :   fp16 : False  static_loss_scale : 1  dynamic_loss_scale : True  prof : 150  amp : True  seed : None  gather_checkpoints : False  raport_file : /workspace/rn50/raport.json  evaluate : False  training_only : True  save_checkpoints : False  checkpoint_filename : checkpoint.pth.tar  workspace : /workspace/rn50  memory_format : nchw  distributed : True  local_rank : 0  gpu : 8  world_size : 8 
 ! Weight decay NOT applied to BN parameters 
98
63
Selected optimization level O3:  Pure FP16 training.
Defaults for this optimization level are:
enabled                : True
opt_level              : O3
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : False
master_weights         : False
loss_scale             : 1.0
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O3
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : False
master_weights         : False
loss_scale             : dynamic
RUNNING EPOCHS FROM 0 TO 1
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 32768.0
DLL 2020-09-22 17:20:58.662419 - Epoch: 0 Iteration: 1  train.loss : 7.09619  train.total_ips : 136.60 img/s
Warning:  unscaling grads that are not FP32. Unscaling non-fp32 grads may indicate an error. When using Amp, you don't need to call .half() on your model.
DLL 2020-09-22 17:20:59.509260 - Epoch: 0 Iteration: 2  train.loss : 7.09082  train.total_ips : 2418.52 img/s
DLL 2020-09-22 17:20:59.976463 - Epoch: 0 Iteration: 3  train.loss : 6.95166  train.total_ips : 4384.36 img/s
DLL 2020-09-22 17:21:00.330196 - Epoch: 0 Iteration: 4  train.loss : 6.98193  train.total_ips : 5791.81 img/s
DLL 2020-09-22 17:21:00.684684 - Epoch: 0 Iteration: 5  train.loss : 6.88086  train.total_ips : 5781.17 img/s
DLL 2020-09-22 17:21:01.040648 - Epoch: 0 Iteration: 6  train.loss : 6.93506  train.total_ips : 5754.44 img/s
DLL 2020-09-22 17:21:01.395525 - Epoch: 0 Iteration: 7  train.loss : 6.81396  train.total_ips : 5772.34 img/s
DLL 2020-09-22 17:21:01.756522 - Epoch: 0 Iteration: 8  train.loss : 6.90088  train.total_ips : 5674.92 img/s
DLL 2020-09-22 17:21:02.303409 - Epoch: 0 Iteration: 9  train.loss : 6.86719  train.total_ips : 3746.96 img/s
DLL 2020-09-22 17:21:02.666651 - Epoch: 0 Iteration: 10  train.loss : 6.88623  train.total_ips : 5638.44 img/s
DLL 2020-09-22 17:21:03.031826 - Epoch: 0 Iteration: 11  train.loss : 6.85693  train.total_ips : 5609.53 img/s
DLL 2020-09-22 17:21:03.392299 - Epoch: 0 Iteration: 12  train.loss : 6.87354  train.total_ips : 5684.25 img/s
DLL 2020-09-22 17:21:03.787505 - Epoch: 0 Iteration: 13  train.loss : 6.85986  train.total_ips : 5182.75 img/s
DLL 2020-09-22 17:21:04.142250 - Epoch: 0 Iteration: 14  train.loss : 6.80273  train.total_ips : 5775.79 img/s
DLL 2020-09-22 17:21:04.552676 - Epoch: 0 Iteration: 15  train.loss : 6.78027  train.total_ips : 4991.87 img/s
DLL 2020-09-22 17:21:04.908924 - Epoch: 0 Iteration: 16  train.loss : 6.80811  train.total_ips : 5750.34 img/s
DLL 2020-09-22 17:21:05.262767 - Epoch: 0 Iteration: 17  train.loss : 6.79834  train.total_ips : 5789.42 img/s
DLL 2020-09-22 17:21:05.617644 - Epoch: 0 Iteration: 18  train.loss : 6.77637  train.total_ips : 5772.58 img/s
DLL 2020-09-22 17:21:05.974668 - Epoch: 0 Iteration: 19  train.loss : 6.79004  train.total_ips : 5737.43 img/s
