+ python /workspace/rn50/multiproc.py --nnodes 1 --node_rank 0 --nproc_per_node 8 --master_addr 127.0.0.1 --master_port=29500 /workspace/rn50/main.py --data-backend dali-cpu --raport-file /workspace/rn50/raport.json -j8 -p 1 --lr 2.048 --optimizer-batch-size -1 --warmup 8 --arch resnet50 -c fanin --label-smoothing 0.1 --lr-schedule cosine --mom 0.125 --wd 3.0517578125e-05 --workspace /workspace/rn50 -b 256 --epochs 1 --prof 150 --training-only --no-checkpoints --amp --dynamic-loss-scale /data/image
=> creating model '('resnet50', 'fanin', 1000)'
Version: {'net': <class 'image_classification.resnet.ResNet'>, 'block': <class 'image_classification.resnet.Bottleneck'>, 'layers': [3, 4, 6, 3], 'widths': [64, 128, 256, 512], 'expansion': 4}
Config: {'conv': <class 'torch.nn.modules.conv.Conv2d'>, 'conv_init': 'fan_in', 'nonlinearity': 'relu', 'last_bn_0_init': False, 'activation': <function <lambda> at 0x7f50b01d59d8>}
Num classes: 1000
i'm distributed in dali~~~~~~~~~~~~~~~~~
rank in dali:  0
world_size in dali:  8
read 886372 files from 698 directories
/opt/dali/dali/image/jpeg_mem.cc:338: Premature end of JPEG data. Stopped at line 272/440
read 50000 files from 1000 directories
DLL 2020-09-22 17:22:40.185257 - PARAMETER data : /data/image  data_backend : dali-cpu  arch : resnet50  model_config : fanin  num_classes : 1000  workers : 8  epochs : 1  run_epochs : -1  batch_size : 256  optimizer_batch_size : -1  lr : 2.048  lr_schedule : cosine  warmup : 8  label_smoothing : 0.1  mixup : 0.0  momentum : 0.125  weight_decay : 3.0517578125e-05  bn_weight_decay : False  nesterov : False  print_freq : 1  resume : None  pretrained_weights :   fp16 : False  static_loss_scale : 1  dynamic_loss_scale : True  prof : 150  amp : True  seed : None  gather_checkpoints : False  raport_file : /workspace/rn50/raport.json  evaluate : False  training_only : True  save_checkpoints : False  checkpoint_filename : checkpoint.pth.tar  workspace : /workspace/rn50  memory_format : nchw  distributed : True  local_rank : 0  gpu : 8  world_size : 8 
 ! Weight decay NOT applied to BN parameters 
98
63
Selected optimization level O3:  Pure FP16 training.
Defaults for this optimization level are:
enabled                : True
opt_level              : O3
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : False
master_weights         : False
loss_scale             : 1.0
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O3
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : False
master_weights         : False
loss_scale             : dynamic
RUNNING EPOCHS FROM 0 TO 1
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 32768.0
DLL 2020-09-22 17:22:58.136827 - Epoch: 0 Iteration: 1  train.loss : 7.10010  train.total_ips : 135.14 img/s
Warning:  unscaling grads that are not FP32. Unscaling non-fp32 grads may indicate an error. When using Amp, you don't need to call .half() on your model.
DLL 2020-09-22 17:22:59.212061 - Epoch: 0 Iteration: 2  train.loss : 7.08350  train.total_ips : 1904.77 img/s
DLL 2020-09-22 17:22:59.643686 - Epoch: 0 Iteration: 3  train.loss : 6.90332  train.total_ips : 4745.85 img/s
DLL 2020-09-22 17:22:59.998178 - Epoch: 0 Iteration: 4  train.loss : 6.87109  train.total_ips : 5778.81 img/s
DLL 2020-09-22 17:23:00.452437 - Epoch: 0 Iteration: 5  train.loss : 6.88428  train.total_ips : 4510.18 img/s
DLL 2020-09-22 17:23:00.808884 - Epoch: 0 Iteration: 6  train.loss : 6.83936  train.total_ips : 5746.90 img/s
DLL 2020-09-22 17:23:01.162121 - Epoch: 0 Iteration: 7  train.loss : 6.80176  train.total_ips : 5799.28 img/s
DLL 2020-09-22 17:23:01.514969 - Epoch: 0 Iteration: 8  train.loss : 6.86523  train.total_ips : 5805.47 img/s
DLL 2020-09-22 17:23:01.890478 - Epoch: 0 Iteration: 9  train.loss : 6.82031  train.total_ips : 5455.11 img/s
DLL 2020-09-22 17:23:02.249573 - Epoch: 0 Iteration: 10  train.loss : 6.82031  train.total_ips : 5705.52 img/s
DLL 2020-09-22 17:23:02.692448 - Epoch: 0 Iteration: 11  train.loss : 6.83154  train.total_ips : 4625.14 img/s
DLL 2020-09-22 17:23:03.080666 - Epoch: 0 Iteration: 12  train.loss : 6.87012  train.total_ips : 5276.40 img/s
DLL 2020-09-22 17:23:03.522576 - Epoch: 0 Iteration: 13  train.loss : 6.80127  train.total_ips : 4636.25 img/s
DLL 2020-09-22 17:23:03.878612 - Epoch: 0 Iteration: 14  train.loss : 6.77881  train.total_ips : 5753.56 img/s
DLL 2020-09-22 17:23:04.244157 - Epoch: 0 Iteration: 15  train.loss : 6.78223  train.total_ips : 5603.99 img/s
DLL 2020-09-22 17:23:04.600977 - Epoch: 0 Iteration: 16  train.loss : 6.78027  train.total_ips : 5740.82 img/s
DLL 2020-09-22 17:23:05.016158 - Epoch: 0 Iteration: 17  train.loss : 6.79248  train.total_ips : 4934.52 img/s
DLL 2020-09-22 17:23:05.392483 - Epoch: 0 Iteration: 18  train.loss : 6.75732  train.total_ips : 5444.00 img/s
DLL 2020-09-22 17:23:05.832527 - Epoch: 0 Iteration: 19  train.loss : 6.80371  train.total_ips : 4654.64 img/s
