+ python /workspace/rn50/multiproc.py --nnodes 1 --node_rank 0 --nproc_per_node 8 --master_addr 127.0.0.1 --master_port=29500 /workspace/rn50/main.py --data-backend dali-cpu --raport-file /workspace/rn50/raport.json -j8 -p 1 --lr 2.048 --optimizer-batch-size -1 --warmup 8 --arch resnet50 -c fanin --label-smoothing 0.1 --lr-schedule cosine --mom 0.125 --wd 3.0517578125e-05 --workspace /workspace/rn50 -b 256 --epochs 1 --prof 150 --training-only --no-checkpoints --amp --dynamic-loss-scale /data/image
=> creating model '('resnet50', 'fanin', 1000)'
Version: {'net': <class 'image_classification.resnet.ResNet'>, 'block': <class 'image_classification.resnet.Bottleneck'>, 'layers': [3, 4, 6, 3], 'widths': [64, 128, 256, 512], 'expansion': 4}
Config: {'conv': <class 'torch.nn.modules.conv.Conv2d'>, 'conv_init': 'fan_in', 'nonlinearity': 'relu', 'last_bn_0_init': False, 'activation': <function <lambda> at 0x7f245c2329d8>}
Num classes: 1000
i'm distributed in dali~~~~~~~~~~~~~~~~~
rank in dali:  0
world_size in dali:  8
read 886372 files from 698 directories
/opt/dali/dali/image/jpeg_mem.cc:338: Premature end of JPEG data. Stopped at line 272/440
read 50000 files from 1000 directories
DLL 2020-09-22 17:24:36.804463 - PARAMETER data : /data/image  data_backend : dali-cpu  arch : resnet50  model_config : fanin  num_classes : 1000  workers : 8  epochs : 1  run_epochs : -1  batch_size : 256  optimizer_batch_size : -1  lr : 2.048  lr_schedule : cosine  warmup : 8  label_smoothing : 0.1  mixup : 0.0  momentum : 0.125  weight_decay : 3.0517578125e-05  bn_weight_decay : False  nesterov : False  print_freq : 1  resume : None  pretrained_weights :   fp16 : False  static_loss_scale : 1  dynamic_loss_scale : True  prof : 150  amp : True  seed : None  gather_checkpoints : False  raport_file : /workspace/rn50/raport.json  evaluate : False  training_only : True  save_checkpoints : False  checkpoint_filename : checkpoint.pth.tar  workspace : /workspace/rn50  memory_format : nchw  distributed : True  local_rank : 0  gpu : 8  world_size : 8 
 ! Weight decay NOT applied to BN parameters 
98
63
Selected optimization level O3:  Pure FP16 training.
Defaults for this optimization level are:
enabled                : True
opt_level              : O3
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : False
master_weights         : False
loss_scale             : 1.0
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O3
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : False
master_weights         : False
loss_scale             : dynamic
RUNNING EPOCHS FROM 0 TO 1
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 32768.0
DLL 2020-09-22 17:24:55.043775 - Epoch: 0 Iteration: 1  train.loss : 7.10059  train.total_ips : 130.69 img/s
Warning:  unscaling grads that are not FP32. Unscaling non-fp32 grads may indicate an error. When using Amp, you don't need to call .half() on your model.
DLL 2020-09-22 17:24:55.941207 - Epoch: 0 Iteration: 2  train.loss : 7.08545  train.total_ips : 2282.73 img/s
DLL 2020-09-22 17:24:56.508705 - Epoch: 0 Iteration: 3  train.loss : 6.98486  train.total_ips : 3608.86 img/s
DLL 2020-09-22 17:24:56.934599 - Epoch: 0 Iteration: 4  train.loss : 6.99365  train.total_ips : 4809.61 img/s
DLL 2020-09-22 17:24:57.286404 - Epoch: 0 Iteration: 5  train.loss : 6.99756  train.total_ips : 5823.21 img/s
DLL 2020-09-22 17:24:57.639751 - Epoch: 0 Iteration: 6  train.loss : 6.95068  train.total_ips : 5799.10 img/s
DLL 2020-09-22 17:24:58.067281 - Epoch: 0 Iteration: 7  train.loss : 6.88867  train.total_ips : 4790.98 img/s
DLL 2020-09-22 17:24:58.424233 - Epoch: 0 Iteration: 8  train.loss : 6.99902  train.total_ips : 5740.42 img/s
DLL 2020-09-22 17:24:58.784790 - Epoch: 0 Iteration: 9  train.loss : 6.96533  train.total_ips : 5681.88 img/s
DLL 2020-09-22 17:24:59.139231 - Epoch: 0 Iteration: 10  train.loss : 6.95898  train.total_ips : 5780.25 img/s
DLL 2020-09-22 17:24:59.498528 - Epoch: 0 Iteration: 11  train.loss : 6.91455  train.total_ips : 5702.71 img/s
DLL 2020-09-22 17:24:59.855817 - Epoch: 0 Iteration: 12  train.loss : 6.94287  train.total_ips : 5734.02 img/s
DLL 2020-09-22 17:25:00.218744 - Epoch: 0 Iteration: 13  train.loss : 6.92529  train.total_ips : 5644.52 img/s
DLL 2020-09-22 17:25:00.579381 - Epoch: 0 Iteration: 14  train.loss : 6.88525  train.total_ips : 5680.10 img/s
DLL 2020-09-22 17:25:00.942421 - Epoch: 0 Iteration: 15  train.loss : 6.96338  train.total_ips : 5644.11 img/s
DLL 2020-09-22 17:25:01.398241 - Epoch: 0 Iteration: 16  train.loss : 6.86768  train.total_ips : 4494.31 img/s
DLL 2020-09-22 17:25:01.755882 - Epoch: 0 Iteration: 17  train.loss : 6.84863  train.total_ips : 5727.62 img/s
DLL 2020-09-22 17:25:02.114567 - Epoch: 0 Iteration: 18  train.loss : 6.82568  train.total_ips : 5710.91 img/s
DLL 2020-09-22 17:25:02.473021 - Epoch: 0 Iteration: 19  train.loss : 6.88037  train.total_ips : 5715.16 img/s
DLL 2020-09-22 17:25:02.836268 - Epoch: 0 Iteration: 20  train.loss : 6.77295  train.total_ips : 5639.68 img/s
DLL 2020-09-22 17:25:03.196465 - Epoch: 0 Iteration: 21  train.loss : 6.78271  train.total_ips : 5688.85 img/s
DLL 2020-09-22 17:25:03.566351 - Epoch: 0 Iteration: 22  train.loss : 6.84033  train.total_ips : 5537.75 img/s
DLL 2020-09-22 17:25:04.005854 - Epoch: 0 Iteration: 23  train.loss : 6.79541  train.total_ips : 4660.80 img/s
DLL 2020-09-22 17:25:04.358123 - Epoch: 0 Iteration: 24  train.loss : 6.79248  train.total_ips : 5815.05 img/s
DLL 2020-09-22 17:25:04.819561 - Epoch: 0 Iteration: 25  train.loss : 6.75098  train.total_ips : 4439.27 img/s
DLL 2020-09-22 17:25:05.171031 - Epoch: 0 Iteration: 26  train.loss : 6.75732  train.total_ips : 5829.66 img/s
DLL 2020-09-22 17:25:05.523058 - Epoch: 0 Iteration: 27  train.loss : 6.76221  train.total_ips : 5819.79 img/s
DLL 2020-09-22 17:25:05.882391 - Epoch: 0 Iteration: 28  train.loss : 6.73926  train.total_ips : 5700.64 img/s
DLL 2020-09-22 17:25:06.235037 - Epoch: 0 Iteration: 29  train.loss : 6.76562  train.total_ips : 5808.84 img/s
DLL 2020-09-22 17:25:06.588681 - Epoch: 0 Iteration: 30  train.loss : 6.74805  train.total_ips : 5792.70 img/s
DLL 2020-09-22 17:25:06.943073 - Epoch: 0 Iteration: 31  train.loss : 6.70410  train.total_ips : 5780.16 img/s
DLL 2020-09-22 17:25:07.310780 - Epoch: 0 Iteration: 32  train.loss : 6.71777  train.total_ips : 5571.30 img/s
DLL 2020-09-22 17:25:07.663957 - Epoch: 0 Iteration: 33  train.loss : 6.72510  train.total_ips : 5800.36 img/s
DLL 2020-09-22 17:25:08.053642 - Epoch: 0 Iteration: 34  train.loss : 6.72754  train.total_ips : 5258.12 img/s
DLL 2020-09-22 17:25:08.442870 - Epoch: 0 Iteration: 35  train.loss : 6.72070  train.total_ips : 5265.31 img/s
DLL 2020-09-22 17:25:08.798782 - Epoch: 0 Iteration: 36  train.loss : 6.71387  train.total_ips : 5755.20 img/s
DLL 2020-09-22 17:25:09.153583 - Epoch: 0 Iteration: 37  train.loss : 6.68018  train.total_ips : 5773.64 img/s
DLL 2020-09-22 17:25:09.518679 - Epoch: 0 Iteration: 38  train.loss : 6.70215  train.total_ips : 5611.49 img/s
DLL 2020-09-22 17:25:09.871109 - Epoch: 0 Iteration: 39  train.loss : 6.65869  train.total_ips : 5812.91 img/s
DLL 2020-09-22 17:25:10.261026 - Epoch: 0 Iteration: 40  train.loss : 6.70117  train.total_ips : 5254.36 img/s
DLL 2020-09-22 17:25:10.610977 - Epoch: 0 Iteration: 41  train.loss : 6.68213  train.total_ips : 5853.32 img/s
DLL 2020-09-22 17:25:10.966332 - Epoch: 0 Iteration: 42  train.loss : 6.68994  train.total_ips : 5764.72 img/s
DLL 2020-09-22 17:25:11.325196 - Epoch: 0 Iteration: 43  train.loss : 6.70947  train.total_ips : 5709.11 img/s
DLL 2020-09-22 17:25:11.677525 - Epoch: 0 Iteration: 44  train.loss : 6.68555  train.total_ips : 5813.79 img/s
DLL 2020-09-22 17:25:12.087529 - Epoch: 0 Iteration: 45  train.loss : 6.69043  train.total_ips : 4996.02 img/s
DLL 2020-09-22 17:25:12.517925 - Epoch: 0 Iteration: 46  train.loss : 6.69434  train.total_ips : 4759.63 img/s
DLL 2020-09-22 17:25:12.877617 - Epoch: 0 Iteration: 47  train.loss : 6.68555  train.total_ips : 5695.70 img/s
DLL 2020-09-22 17:25:13.234028 - Epoch: 0 Iteration: 48  train.loss : 6.68652  train.total_ips : 5747.70 img/s
DLL 2020-09-22 17:25:13.624773 - Epoch: 0 Iteration: 49  train.loss : 6.68945  train.total_ips : 5245.42 img/s
DLL 2020-09-22 17:25:14.080136 - Epoch: 0 Iteration: 50  train.loss : 6.65771  train.total_ips : 4498.76 img/s
DLL 2020-09-22 17:25:14.450992 - Epoch: 0 Iteration: 51  train.loss : 6.65088  train.total_ips : 5524.33 img/s
DLL 2020-09-22 17:25:14.800389 - Epoch: 0 Iteration: 52  train.loss : 6.64502  train.total_ips : 5863.84 img/s
DLL 2020-09-22 17:25:15.160295 - Epoch: 0 Iteration: 53  train.loss : 6.65332  train.total_ips : 5693.78 img/s
DLL 2020-09-22 17:25:15.537490 - Epoch: 0 Iteration: 54  train.loss : 6.65088  train.total_ips : 5430.86 img/s
DLL 2020-09-22 17:25:15.891242 - Epoch: 0 Iteration: 55  train.loss : 6.63477  train.total_ips : 5792.05 img/s
DLL 2020-09-22 17:25:16.351235 - Epoch: 0 Iteration: 56  train.loss : 6.63818  train.total_ips : 4453.58 img/s
DLL 2020-09-22 17:25:16.719421 - Epoch: 0 Iteration: 57  train.loss : 6.63379  train.total_ips : 5569.36 img/s
DLL 2020-09-22 17:25:17.096554 - Epoch: 0 Iteration: 58  train.loss : 6.62207  train.total_ips : 5433.02 img/s
DLL 2020-09-22 17:25:17.447999 - Epoch: 0 Iteration: 59  train.loss : 6.62500  train.total_ips : 5828.58 img/s
DLL 2020-09-22 17:25:17.802774 - Epoch: 0 Iteration: 60  train.loss : 6.60645  train.total_ips : 5774.17 img/s
DLL 2020-09-22 17:25:18.157818 - Epoch: 0 Iteration: 61  train.loss : 6.58838  train.total_ips : 5769.88 img/s
DLL 2020-09-22 17:25:18.517880 - Epoch: 0 Iteration: 62  train.loss : 6.64014  train.total_ips : 5689.58 img/s
DLL 2020-09-22 17:25:18.875536 - Epoch: 0 Iteration: 63  train.loss : 6.62646  train.total_ips : 5727.65 img/s
DLL 2020-09-22 17:25:19.236999 - Epoch: 0 Iteration: 64  train.loss : 6.65576  train.total_ips : 5668.42 img/s
DLL 2020-09-22 17:25:19.595520 - Epoch: 0 Iteration: 65  train.loss : 6.63574  train.total_ips : 5714.76 img/s
DLL 2020-09-22 17:25:19.958070 - Epoch: 0 Iteration: 66  train.loss : 6.67285  train.total_ips : 5649.82 img/s
DLL 2020-09-22 17:25:20.317527 - Epoch: 0 Iteration: 67  train.loss : 6.59912  train.total_ips : 5698.87 img/s
DLL 2020-09-22 17:25:20.668844 - Epoch: 0 Iteration: 68  train.loss : 6.64600  train.total_ips : 5831.12 img/s
DLL 2020-09-22 17:25:21.027049 - Epoch: 0 Iteration: 69  train.loss : 6.61328  train.total_ips : 5718.80 img/s
DLL 2020-09-22 17:25:21.384947 - Epoch: 0 Iteration: 70  train.loss : 6.60059  train.total_ips : 5723.87 img/s
DLL 2020-09-22 17:25:21.736833 - Epoch: 0 Iteration: 71  train.loss : 6.54004  train.total_ips : 5821.46 img/s
DLL 2020-09-22 17:25:22.174399 - Epoch: 0 Iteration: 72  train.loss : 6.55615  train.total_ips : 4681.59 img/s
DLL 2020-09-22 17:25:22.532618 - Epoch: 0 Iteration: 73  train.loss : 6.53516  train.total_ips : 5718.40 img/s
DLL 2020-09-22 17:25:22.886657 - Epoch: 0 Iteration: 74  train.loss : 6.53516  train.total_ips : 5786.17 img/s
DLL 2020-09-22 17:25:23.368853 - Epoch: 0 Iteration: 75  train.loss : 6.53760  train.total_ips : 4248.67 img/s
DLL 2020-09-22 17:25:23.793797 - Epoch: 0 Iteration: 76  train.loss : 6.50293  train.total_ips : 4820.11 img/s
DLL 2020-09-22 17:25:24.186657 - Epoch: 0 Iteration: 77  train.loss : 6.53271  train.total_ips : 5214.27 img/s
