+ python /workspace/rn50/multiproc.py --nnodes 2 --node_rank 0 --nproc_per_node 8 --master_addr 10.11.0.2 --master_port=22333 /workspace/rn50/main.py --data-backend dali-cpu --raport-file /workspace/rn50/raport.json -j8 -p 1 --lr 2.048 --optimizer-batch-size -1 --warmup 8 --arch resnet50 -c fanin --label-smoothing 0.1 --lr-schedule cosine --mom 0.125 --wd 3.0517578125e-05 --workspace /workspace/rn50 -b 256 --epochs 1 --prof 150 --training-only --no-checkpoints --amp --dynamic-loss-scale /data/image
=> creating model '('resnet50', 'fanin', 1000)'
Version: {'net': <class 'image_classification.resnet.ResNet'>, 'block': <class 'image_classification.resnet.Bottleneck'>, 'layers': [3, 4, 6, 3], 'widths': [64, 128, 256, 512], 'expansion': 4}
Config: {'conv': <class 'torch.nn.modules.conv.Conv2d'>, 'conv_init': 'fan_in', 'nonlinearity': 'relu', 'last_bn_0_init': False, 'activation': <function <lambda> at 0x7f1ce9a8c9d8>}
Num classes: 1000
i'm distributed in dali~~~~~~~~~~~~~~~~~
rank in dali:  0
world_size in dali:  16
read 886372 files from 698 directories
read 50000 files from 1000 directories
DLL 2020-09-22 17:34:53.481645 - PARAMETER data : /data/image  data_backend : dali-cpu  arch : resnet50  model_config : fanin  num_classes : 1000  workers : 8  epochs : 1  run_epochs : -1  batch_size : 256  optimizer_batch_size : -1  lr : 2.048  lr_schedule : cosine  warmup : 8  label_smoothing : 0.1  mixup : 0.0  momentum : 0.125  weight_decay : 3.0517578125e-05  bn_weight_decay : False  nesterov : False  print_freq : 1  resume : None  pretrained_weights :   fp16 : False  static_loss_scale : 1  dynamic_loss_scale : True  prof : 150  amp : True  seed : None  gather_checkpoints : False  raport_file : /workspace/rn50/raport.json  evaluate : False  training_only : True  save_checkpoints : False  checkpoint_filename : checkpoint.pth.tar  workspace : /workspace/rn50  memory_format : nchw  distributed : True  local_rank : 0  gpu : 8  world_size : 16 
 ! Weight decay NOT applied to BN parameters 
98
63
Selected optimization level O3:  Pure FP16 training.
Defaults for this optimization level are:
enabled                : True
opt_level              : O3
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : False
master_weights         : False
loss_scale             : 1.0
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O3
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : False
master_weights         : False
loss_scale             : dynamic
VS002:161910:161910 [0] NCCL INFO Bootstrap : Using [0]ib0:10.11.0.2<0>
VS002:161910:161910 [0] NCCL INFO NET/Plugin : No plugin found (libnccl-net.so), using internal implementation
VS002:161910:161910 [0] NCCL INFO NET/IB : Using [0]mlx5_0:1/IB ; OOB ib0:10.11.0.2<0>
VS002:161910:161910 [0] NCCL INFO Using network IB
NCCL version 2.6.3+cuda10.2
VS002:161910:162702 [0] NCCL INFO Channel 00/02 :    0   3   2   6   7   4   5   1   8  11  10  14  15  12  13   9
VS002:161910:162702 [0] NCCL INFO Channel 01/02 :    0   3   2   6   7   4   5   1   8  11  10  14  15  12  13   9
VS002:161910:162702 [0] NCCL INFO threadThresholds 8/8/64 | 128/8/64 | 8/8/64
VS002:161910:162702 [0] NCCL INFO Trees [0] 1/-1/-1->0->-1|-1->0->1/-1/-1 [1] 1/-1/-1->0->9|9->0->1/-1/-1
VS002:161910:162702 [0] NCCL INFO Setting affinity for GPU 0 to 0f,ff000fff
VS002:161910:162702 [0] NCCL INFO Ring 00 : 9[1b000] -> 0[1a000] [receive] via NET/IB/0
VS002:161910:162702 [0] NCCL INFO Ring 00 : 0[1a000] -> 3[3e000] via P2P/IPC
VS002:161910:162702 [0] NCCL INFO Ring 00 : 0[1a000] -> 1[1b000] via P2P/IPC
VS002:161910:162702 [0] NCCL INFO Ring 01 : 9[1b000] -> 0[1a000] [receive] via NET/IB/0
VS002:161910:162702 [0] NCCL INFO Ring 01 : 0[1a000] -> 3[3e000] via P2P/IPC
VS002:161910:162702 [0] NCCL INFO Ring 01 : 0[1a000] -> 9[1b000] [send] via NET/IB/0
VS002:161910:162702 [0] NCCL INFO Ring 01 : 0[1a000] -> 1[1b000] via P2P/IPC
VS002:161910:162702 [0] NCCL INFO comm 0x7f1a18006880 rank 0 nranks 16 cudaDev 0 busId 1a000 - Init COMPLETE
VS002:161910:161910 [0] NCCL INFO Launch mode Parallel
RUNNING EPOCHS FROM 0 TO 1
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 32768.0
DLL 2020-09-22 17:35:14.198280 - Epoch: 0 Iteration: 1  train.loss : 7.10107  train.total_ips : 246.30 img/s
Warning:  unscaling grads that are not FP32. Unscaling non-fp32 grads may indicate an error. When using Amp, you don't need to call .half() on your model.
DLL 2020-09-22 17:35:14.840698 - Epoch: 0 Iteration: 2  train.loss : 7.10107  train.total_ips : 6377.81 img/s
DLL 2020-09-22 17:35:15.432006 - Epoch: 0 Iteration: 3  train.loss : 6.90845  train.total_ips : 6928.90 img/s
DLL 2020-09-22 17:35:15.897748 - Epoch: 0 Iteration: 4  train.loss : 6.83618  train.total_ips : 8795.73 img/s
DLL 2020-09-22 17:35:16.310415 - Epoch: 0 Iteration: 5  train.loss : 6.82886  train.total_ips : 9927.78 img/s
DLL 2020-09-22 17:35:16.713020 - Epoch: 0 Iteration: 6  train.loss : 6.81250  train.total_ips : 10180.11 img/s
DLL 2020-09-22 17:35:17.108490 - Epoch: 0 Iteration: 7  train.loss : 6.82471  train.total_ips : 10362.78 img/s
DLL 2020-09-22 17:35:17.549086 - Epoch: 0 Iteration: 8  train.loss : 6.77368  train.total_ips : 9303.93 img/s
DLL 2020-09-22 17:35:17.978377 - Epoch: 0 Iteration: 9  train.loss : 6.77393  train.total_ips : 9544.37 img/s
DLL 2020-09-22 17:35:18.369899 - Epoch: 0 Iteration: 10  train.loss : 6.76611  train.total_ips : 10465.47 img/s
DLL 2020-09-22 17:35:18.725827 - Epoch: 0 Iteration: 11  train.loss : 6.76978  train.total_ips : 11509.61 img/s
DLL 2020-09-22 17:35:19.211652 - Epoch: 0 Iteration: 12  train.loss : 6.72412  train.total_ips : 8434.76 img/s
DLL 2020-09-22 17:35:19.754747 - Epoch: 0 Iteration: 13  train.loss : 6.71802  train.total_ips : 7545.83 img/s
DLL 2020-09-22 17:35:20.121268 - Epoch: 0 Iteration: 14  train.loss : 6.71460  train.total_ips : 11180.42 img/s
DLL 2020-09-22 17:35:20.484282 - Epoch: 0 Iteration: 15  train.loss : 6.70557  train.total_ips : 11289.94 img/s
DLL 2020-09-22 17:35:20.920389 - Epoch: 0 Iteration: 16  train.loss : 6.69629  train.total_ips : 9397.28 img/s
DLL 2020-09-22 17:35:21.296531 - Epoch: 0 Iteration: 17  train.loss : 6.68604  train.total_ips : 10890.35 img/s
DLL 2020-09-22 17:35:21.753859 - Epoch: 0 Iteration: 18  train.loss : 6.66846  train.total_ips : 8969.01 img/s
DLL 2020-09-22 17:35:22.115214 - Epoch: 0 Iteration: 19  train.loss : 6.68433  train.total_ips : 11333.86 img/s
DLL 2020-09-22 17:35:22.480975 - Epoch: 0 Iteration: 20  train.loss : 6.66260  train.total_ips : 11201.53 img/s
DLL 2020-09-22 17:35:22.844087 - Epoch: 0 Iteration: 21  train.loss : 6.66870  train.total_ips : 11283.05 img/s
DLL 2020-09-22 17:35:23.338757 - Epoch: 0 Iteration: 22  train.loss : 6.68311  train.total_ips : 8284.19 img/s
DLL 2020-09-22 17:35:23.754998 - Epoch: 0 Iteration: 23  train.loss : 6.68262  train.total_ips : 9844.29 img/s
DLL 2020-09-22 17:35:24.220937 - Epoch: 0 Iteration: 24  train.loss : 6.66870  train.total_ips : 8792.62 img/s
DLL 2020-09-22 17:35:24.706817 - Epoch: 0 Iteration: 25  train.loss : 6.67896  train.total_ips : 8431.62 img/s
DLL 2020-09-22 17:35:25.170743 - Epoch: 0 Iteration: 26  train.loss : 6.65967  train.total_ips : 8831.57 img/s
DLL 2020-09-22 17:35:25.529538 - Epoch: 0 Iteration: 27  train.loss : 6.65479  train.total_ips : 11418.62 img/s
DLL 2020-09-22 17:35:25.898122 - Epoch: 0 Iteration: 28  train.loss : 6.64697  train.total_ips : 11116.79 img/s
DLL 2020-09-22 17:35:26.283241 - Epoch: 0 Iteration: 29  train.loss : 6.65796  train.total_ips : 10642.98 img/s
DLL 2020-09-22 17:35:26.641211 - Epoch: 0 Iteration: 30  train.loss : 6.63867  train.total_ips : 11447.69 img/s
DLL 2020-09-22 17:35:27.070257 - Epoch: 0 Iteration: 31  train.loss : 6.63623  train.total_ips : 9549.42 img/s
DLL 2020-09-22 17:35:27.553781 - Epoch: 0 Iteration: 32  train.loss : 6.65698  train.total_ips : 8473.20 img/s
DLL 2020-09-22 17:35:28.054063 - Epoch: 0 Iteration: 33  train.loss : 6.65381  train.total_ips : 8189.23 img/s
