+ python /workspace/rn50/multiproc.py --nnodes 2 --node_rank 0 --nproc_per_node 8 --master_addr 10.11.0.2 --master_port=22333 /workspace/rn50/main.py --data-backend dali-cpu --raport-file /workspace/rn50/raport.json -j8 -p 1 --lr 2.048 --optimizer-batch-size -1 --warmup 8 --arch resnet50 -c fanin --label-smoothing 0.1 --lr-schedule cosine --mom 0.125 --wd 3.0517578125e-05 --workspace /workspace/rn50 -b 256 --epochs 1 --prof 150 --training-only --no-checkpoints --amp --dynamic-loss-scale /data/image
=> creating model '('resnet50', 'fanin', 1000)'
Version: {'net': <class 'image_classification.resnet.ResNet'>, 'block': <class 'image_classification.resnet.Bottleneck'>, 'layers': [3, 4, 6, 3], 'widths': [64, 128, 256, 512], 'expansion': 4}
Config: {'conv': <class 'torch.nn.modules.conv.Conv2d'>, 'conv_init': 'fan_in', 'nonlinearity': 'relu', 'last_bn_0_init': False, 'activation': <function <lambda> at 0x7f56b81909d8>}
Num classes: 1000
i'm distributed in dali~~~~~~~~~~~~~~~~~
rank in dali:  0
world_size in dali:  16
read 886372 files from 698 directories
read 50000 files from 1000 directories
DLL 2020-09-22 17:37:01.948425 - PARAMETER data : /data/image  data_backend : dali-cpu  arch : resnet50  model_config : fanin  num_classes : 1000  workers : 8  epochs : 1  run_epochs : -1  batch_size : 256  optimizer_batch_size : -1  lr : 2.048  lr_schedule : cosine  warmup : 8  label_smoothing : 0.1  mixup : 0.0  momentum : 0.125  weight_decay : 3.0517578125e-05  bn_weight_decay : False  nesterov : False  print_freq : 1  resume : None  pretrained_weights :   fp16 : False  static_loss_scale : 1  dynamic_loss_scale : True  prof : 150  amp : True  seed : None  gather_checkpoints : False  raport_file : /workspace/rn50/raport.json  evaluate : False  training_only : True  save_checkpoints : False  checkpoint_filename : checkpoint.pth.tar  workspace : /workspace/rn50  memory_format : nchw  distributed : True  local_rank : 0  gpu : 8  world_size : 16 
 ! Weight decay NOT applied to BN parameters 
98
63
Selected optimization level O3:  Pure FP16 training.
Defaults for this optimization level are:
enabled                : True
opt_level              : O3
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : False
master_weights         : False
loss_scale             : 1.0
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O3
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : False
master_weights         : False
loss_scale             : dynamic
VS002:163417:163417 [0] NCCL INFO Bootstrap : Using [0]ib0:10.11.0.2<0>
VS002:163417:163417 [0] NCCL INFO NET/Plugin : No plugin found (libnccl-net.so), using internal implementation
VS002:163417:163417 [0] NCCL INFO NET/IB : Using [0]mlx5_0:1/IB ; OOB ib0:10.11.0.2<0>
VS002:163417:163417 [0] NCCL INFO Using network IB
NCCL version 2.6.3+cuda10.2
VS002:163417:164210 [0] NCCL INFO Channel 00/02 :    0   3   2   6   7   4   5   1   8  11  10  14  15  12  13   9
VS002:163417:164210 [0] NCCL INFO Channel 01/02 :    0   3   2   6   7   4   5   1   8  11  10  14  15  12  13   9
VS002:163417:164210 [0] NCCL INFO threadThresholds 8/8/64 | 128/8/64 | 8/8/64
VS002:163417:164210 [0] NCCL INFO Trees [0] 1/-1/-1->0->-1|-1->0->1/-1/-1 [1] 1/-1/-1->0->9|9->0->1/-1/-1
VS002:163417:164210 [0] NCCL INFO Setting affinity for GPU 0 to 0f,ff000fff
VS002:163417:164210 [0] NCCL INFO Ring 00 : 9[1b000] -> 0[1a000] [receive] via NET/IB/0
VS002:163417:164210 [0] NCCL INFO Ring 00 : 0[1a000] -> 3[3e000] via P2P/IPC
VS002:163417:164210 [0] NCCL INFO Ring 00 : 0[1a000] -> 1[1b000] via P2P/IPC
VS002:163417:164210 [0] NCCL INFO Ring 01 : 9[1b000] -> 0[1a000] [receive] via NET/IB/0
VS002:163417:164210 [0] NCCL INFO Ring 01 : 0[1a000] -> 3[3e000] via P2P/IPC
VS002:163417:164210 [0] NCCL INFO Ring 01 : 0[1a000] -> 9[1b000] [send] via NET/IB/0
VS002:163417:164210 [0] NCCL INFO Ring 01 : 0[1a000] -> 1[1b000] via P2P/IPC
VS002:163417:164210 [0] NCCL INFO comm 0x7f54e4006880 rank 0 nranks 16 cudaDev 0 busId 1a000 - Init COMPLETE
VS002:163417:163417 [0] NCCL INFO Launch mode Parallel
RUNNING EPOCHS FROM 0 TO 1
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 32768.0
DLL 2020-09-22 17:37:21.565747 - Epoch: 0 Iteration: 1  train.loss : 7.09741  train.total_ips : 244.63 img/s
Warning:  unscaling grads that are not FP32. Unscaling non-fp32 grads may indicate an error. When using Amp, you don't need to call .half() on your model.
DLL 2020-09-22 17:37:22.219427 - Epoch: 0 Iteration: 2  train.loss : 7.08887  train.total_ips : 6266.40 img/s
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 16384.0
DLL 2020-09-22 17:37:22.593505 - Epoch: 0 Iteration: 3  train.loss : 6.92871  train.total_ips : 10952.03 img/s
DLL 2020-09-22 17:37:22.964345 - Epoch: 0 Iteration: 4  train.loss : 6.94043  train.total_ips : 11047.85 img/s
DLL 2020-09-22 17:37:23.347103 - Epoch: 0 Iteration: 5  train.loss : 6.86206  train.total_ips : 10703.37 img/s
DLL 2020-09-22 17:37:23.734620 - Epoch: 0 Iteration: 6  train.loss : 6.83691  train.total_ips : 10573.57 img/s
DLL 2020-09-22 17:37:24.188481 - Epoch: 0 Iteration: 7  train.loss : 6.89526  train.total_ips : 9026.38 img/s
DLL 2020-09-22 17:37:24.553560 - Epoch: 0 Iteration: 8  train.loss : 6.84644  train.total_ips : 11222.75 img/s
DLL 2020-09-22 17:37:24.921160 - Epoch: 0 Iteration: 9  train.loss : 6.80566  train.total_ips : 11151.02 img/s
DLL 2020-09-22 17:37:25.290052 - Epoch: 0 Iteration: 10  train.loss : 6.83984  train.total_ips : 11105.31 img/s
DLL 2020-09-22 17:37:25.696886 - Epoch: 0 Iteration: 11  train.loss : 6.83081  train.total_ips : 10070.14 img/s
DLL 2020-09-22 17:37:26.073269 - Epoch: 0 Iteration: 12  train.loss : 6.75708  train.total_ips : 10886.32 img/s
DLL 2020-09-22 17:37:26.433192 - Epoch: 0 Iteration: 13  train.loss : 6.78589  train.total_ips : 11382.85 img/s
DLL 2020-09-22 17:37:26.927393 - Epoch: 0 Iteration: 14  train.loss : 6.77515  train.total_ips : 8291.96 img/s
DLL 2020-09-22 17:37:27.351959 - Epoch: 0 Iteration: 15  train.loss : 6.81934  train.total_ips : 9650.91 img/s
DLL 2020-09-22 17:37:27.713299 - Epoch: 0 Iteration: 16  train.loss : 6.77905  train.total_ips : 11338.97 img/s
DLL 2020-09-22 17:37:28.167752 - Epoch: 0 Iteration: 17  train.loss : 6.74561  train.total_ips : 9015.37 img/s
DLL 2020-09-22 17:37:28.539029 - Epoch: 0 Iteration: 18  train.loss : 6.71875  train.total_ips : 11037.32 img/s
DLL 2020-09-22 17:37:28.908713 - Epoch: 0 Iteration: 19  train.loss : 6.74854  train.total_ips : 11081.75 img/s
DLL 2020-09-22 17:37:29.280418 - Epoch: 0 Iteration: 20  train.loss : 6.72070  train.total_ips : 11022.15 img/s
DLL 2020-09-22 17:37:29.701060 - Epoch: 0 Iteration: 21  train.loss : 6.72607  train.total_ips : 9740.45 img/s
DLL 2020-09-22 17:37:30.154324 - Epoch: 0 Iteration: 22  train.loss : 6.70947  train.total_ips : 9039.64 img/s
DLL 2020-09-22 17:37:30.683029 - Epoch: 0 Iteration: 23  train.loss : 6.71143  train.total_ips : 7748.16 img/s
DLL 2020-09-22 17:37:31.179412 - Epoch: 0 Iteration: 24  train.loss : 6.70483  train.total_ips : 8252.98 img/s
DLL 2020-09-22 17:37:31.652623 - Epoch: 0 Iteration: 25  train.loss : 6.73389  train.total_ips : 8657.27 img/s
DLL 2020-09-22 17:37:32.157309 - Epoch: 0 Iteration: 26  train.loss : 6.70361  train.total_ips : 8117.25 img/s
DLL 2020-09-22 17:37:32.598125 - Epoch: 0 Iteration: 27  train.loss : 6.70312  train.total_ips : 9293.65 img/s
DLL 2020-09-22 17:37:33.031674 - Epoch: 0 Iteration: 28  train.loss : 6.68799  train.total_ips : 9449.51 img/s
DLL 2020-09-22 17:37:33.403546 - Epoch: 0 Iteration: 29  train.loss : 6.67993  train.total_ips : 11016.79 img/s
DLL 2020-09-22 17:37:33.764179 - Epoch: 0 Iteration: 30  train.loss : 6.66870  train.total_ips : 11362.89 img/s
DLL 2020-09-22 17:37:34.220560 - Epoch: 0 Iteration: 31  train.loss : 6.65308  train.total_ips : 8976.79 img/s
DLL 2020-09-22 17:37:34.618688 - Epoch: 0 Iteration: 32  train.loss : 6.66309  train.total_ips : 10290.00 img/s
DLL 2020-09-22 17:37:35.042211 - Epoch: 0 Iteration: 33  train.loss : 6.66650  train.total_ips : 9673.02 img/s
