+ python /workspace/rn50/multiproc.py --nnodes 2 --node_rank 0 --nproc_per_node 8 --master_addr 10.11.0.2 --master_port=22333 /workspace/rn50/main.py --data-backend dali-cpu --raport-file /workspace/rn50/raport.json -j8 -p 1 --lr 2.048 --optimizer-batch-size -1 --warmup 8 --arch resnet50 -c fanin --label-smoothing 0.1 --lr-schedule cosine --mom 0.125 --wd 3.0517578125e-05 --workspace /workspace/rn50 -b 256 --epochs 1 --prof 150 --training-only --no-checkpoints --amp --dynamic-loss-scale /data/image
=> creating model '('resnet50', 'fanin', 1000)'
Version: {'net': <class 'image_classification.resnet.ResNet'>, 'block': <class 'image_classification.resnet.Bottleneck'>, 'layers': [3, 4, 6, 3], 'widths': [64, 128, 256, 512], 'expansion': 4}
Config: {'conv': <class 'torch.nn.modules.conv.Conv2d'>, 'conv_init': 'fan_in', 'nonlinearity': 'relu', 'last_bn_0_init': False, 'activation': <function <lambda> at 0x7f850966b9d8>}
Num classes: 1000
i'm distributed in dali~~~~~~~~~~~~~~~~~
rank in dali:  0
world_size in dali:  16
read 886372 files from 698 directories
read 50000 files from 1000 directories
DLL 2020-09-22 17:39:04.469361 - PARAMETER data : /data/image  data_backend : dali-cpu  arch : resnet50  model_config : fanin  num_classes : 1000  workers : 8  epochs : 1  run_epochs : -1  batch_size : 256  optimizer_batch_size : -1  lr : 2.048  lr_schedule : cosine  warmup : 8  label_smoothing : 0.1  mixup : 0.0  momentum : 0.125  weight_decay : 3.0517578125e-05  bn_weight_decay : False  nesterov : False  print_freq : 1  resume : None  pretrained_weights :   fp16 : False  static_loss_scale : 1  dynamic_loss_scale : True  prof : 150  amp : True  seed : None  gather_checkpoints : False  raport_file : /workspace/rn50/raport.json  evaluate : False  training_only : True  save_checkpoints : False  checkpoint_filename : checkpoint.pth.tar  workspace : /workspace/rn50  memory_format : nchw  distributed : True  local_rank : 0  gpu : 8  world_size : 16 
 ! Weight decay NOT applied to BN parameters 
98
63
Selected optimization level O3:  Pure FP16 training.
Defaults for this optimization level are:
enabled                : True
opt_level              : O3
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : False
master_weights         : False
loss_scale             : 1.0
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O3
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : False
master_weights         : False
loss_scale             : dynamic
VS002:164910:164910 [0] NCCL INFO Bootstrap : Using [0]ib0:10.11.0.2<0>
VS002:164910:164910 [0] NCCL INFO NET/Plugin : No plugin found (libnccl-net.so), using internal implementation
VS002:164910:164910 [0] NCCL INFO NET/IB : Using [0]mlx5_0:1/IB ; OOB ib0:10.11.0.2<0>
VS002:164910:164910 [0] NCCL INFO Using network IB
NCCL version 2.6.3+cuda10.2
VS002:164910:165703 [0] NCCL INFO Channel 00/02 :    0   3   2   6   7   4   5   1   8  11  10  14  15  12  13   9
VS002:164910:165703 [0] NCCL INFO Channel 01/02 :    0   3   2   6   7   4   5   1   8  11  10  14  15  12  13   9
VS002:164910:165703 [0] NCCL INFO threadThresholds 8/8/64 | 128/8/64 | 8/8/64
VS002:164910:165703 [0] NCCL INFO Trees [0] 1/-1/-1->0->-1|-1->0->1/-1/-1 [1] 1/-1/-1->0->9|9->0->1/-1/-1
VS002:164910:165703 [0] NCCL INFO Setting affinity for GPU 0 to 0f,ff000fff
VS002:164910:165703 [0] NCCL INFO Ring 00 : 9[1b000] -> 0[1a000] [receive] via NET/IB/0
VS002:164910:165703 [0] NCCL INFO Ring 00 : 0[1a000] -> 3[3e000] via P2P/IPC
VS002:164910:165703 [0] NCCL INFO Ring 00 : 0[1a000] -> 1[1b000] via P2P/IPC
VS002:164910:165703 [0] NCCL INFO Ring 01 : 9[1b000] -> 0[1a000] [receive] via NET/IB/0
VS002:164910:165703 [0] NCCL INFO Ring 01 : 0[1a000] -> 3[3e000] via P2P/IPC
VS002:164910:165703 [0] NCCL INFO Ring 01 : 0[1a000] -> 9[1b000] [send] via NET/IB/0
VS002:164910:165703 [0] NCCL INFO Ring 01 : 0[1a000] -> 1[1b000] via P2P/IPC
VS002:164910:165703 [0] NCCL INFO comm 0x7f8338006880 rank 0 nranks 16 cudaDev 0 busId 1a000 - Init COMPLETE
VS002:164910:164910 [0] NCCL INFO Launch mode Parallel
RUNNING EPOCHS FROM 0 TO 1
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 32768.0
DLL 2020-09-22 17:39:25.502495 - Epoch: 0 Iteration: 1  train.loss : 7.12012  train.total_ips : 244.12 img/s
Warning:  unscaling grads that are not FP32. Unscaling non-fp32 grads may indicate an error. When using Amp, you don't need to call .half() on your model.
DLL 2020-09-22 17:39:26.092855 - Epoch: 0 Iteration: 2  train.loss : 7.08960  train.total_ips : 6939.13 img/s
DLL 2020-09-22 17:39:26.601829 - Epoch: 0 Iteration: 3  train.loss : 6.88403  train.total_ips : 8048.50 img/s
DLL 2020-09-22 17:39:26.983795 - Epoch: 0 Iteration: 4  train.loss : 6.80908  train.total_ips : 10728.58 img/s
DLL 2020-09-22 17:39:27.359008 - Epoch: 0 Iteration: 5  train.loss : 6.80273  train.total_ips : 10918.58 img/s
DLL 2020-09-22 17:39:27.715707 - Epoch: 0 Iteration: 6  train.loss : 6.79102  train.total_ips : 11486.10 img/s
DLL 2020-09-22 17:39:28.075733 - Epoch: 0 Iteration: 7  train.loss : 6.82251  train.total_ips : 11381.15 img/s
DLL 2020-09-22 17:39:28.444415 - Epoch: 0 Iteration: 8  train.loss : 6.77441  train.total_ips : 11113.65 img/s
DLL 2020-09-22 17:39:28.897265 - Epoch: 0 Iteration: 9  train.loss : 6.77734  train.total_ips : 9047.67 img/s
DLL 2020-09-22 17:39:29.262508 - Epoch: 0 Iteration: 10  train.loss : 6.78052  train.total_ips : 11216.32 img/s
DLL 2020-09-22 17:39:29.625469 - Epoch: 0 Iteration: 11  train.loss : 6.76001  train.total_ips : 11287.96 img/s
DLL 2020-09-22 17:39:29.989721 - Epoch: 0 Iteration: 12  train.loss : 6.72534  train.total_ips : 11248.85 img/s
DLL 2020-09-22 17:39:30.355177 - Epoch: 0 Iteration: 13  train.loss : 6.76611  train.total_ips : 11211.99 img/s
DLL 2020-09-22 17:39:30.727246 - Epoch: 0 Iteration: 14  train.loss : 6.73535  train.total_ips : 11012.90 img/s
DLL 2020-09-22 17:39:31.099988 - Epoch: 0 Iteration: 15  train.loss : 6.77441  train.total_ips : 10991.28 img/s
DLL 2020-09-22 17:39:31.508826 - Epoch: 0 Iteration: 16  train.loss : 6.74463  train.total_ips : 10020.72 img/s
DLL 2020-09-22 17:39:31.872714 - Epoch: 0 Iteration: 17  train.loss : 6.72681  train.total_ips : 11260.83 img/s
DLL 2020-09-22 17:39:32.262275 - Epoch: 0 Iteration: 18  train.loss : 6.70557  train.total_ips : 10518.60 img/s
DLL 2020-09-22 17:39:32.653264 - Epoch: 0 Iteration: 19  train.loss : 6.73291  train.total_ips : 10479.61 img/s
DLL 2020-09-22 17:39:33.020204 - Epoch: 0 Iteration: 20  train.loss : 6.71045  train.total_ips : 11164.25 img/s
DLL 2020-09-22 17:39:33.472144 - Epoch: 0 Iteration: 21  train.loss : 6.70850  train.total_ips : 9066.13 img/s
DLL 2020-09-22 17:39:33.834153 - Epoch: 0 Iteration: 22  train.loss : 6.72168  train.total_ips : 11318.01 img/s
DLL 2020-09-22 17:39:34.190522 - Epoch: 0 Iteration: 23  train.loss : 6.69971  train.total_ips : 11499.96 img/s
DLL 2020-09-22 17:39:34.625351 - Epoch: 0 Iteration: 24  train.loss : 6.69141  train.total_ips : 9422.75 img/s
DLL 2020-09-22 17:39:35.015112 - Epoch: 0 Iteration: 25  train.loss : 6.72583  train.total_ips : 10510.50 img/s
DLL 2020-09-22 17:39:35.399108 - Epoch: 0 Iteration: 26  train.loss : 6.70044  train.total_ips : 10669.58 img/s
DLL 2020-09-22 17:39:35.799123 - Epoch: 0 Iteration: 27  train.loss : 6.70996  train.total_ips : 10242.65 img/s
DLL 2020-09-22 17:39:36.163685 - Epoch: 0 Iteration: 28  train.loss : 6.68555  train.total_ips : 11239.23 img/s
DLL 2020-09-22 17:39:36.599142 - Epoch: 0 Iteration: 29  train.loss : 6.68799  train.total_ips : 9409.52 img/s
DLL 2020-09-22 17:39:36.958057 - Epoch: 0 Iteration: 30  train.loss : 6.66797  train.total_ips : 11413.81 img/s
DLL 2020-09-22 17:39:37.446534 - Epoch: 0 Iteration: 31  train.loss : 6.66211  train.total_ips : 8386.96 img/s
DLL 2020-09-22 17:39:37.927064 - Epoch: 0 Iteration: 32  train.loss : 6.66235  train.total_ips : 8525.99 img/s
DLL 2020-09-22 17:39:38.288041 - Epoch: 0 Iteration: 33  train.loss : 6.67822  train.total_ips : 11349.81 img/s
