+ python /workspace/rn50/multiproc.py --nnodes 2 --node_rank 0 --nproc_per_node 8 --master_addr 10.11.0.2 --master_port=22333 /workspace/rn50/main.py --data-backend dali-cpu --raport-file /workspace/rn50/raport.json -j8 -p 1 --lr 2.048 --optimizer-batch-size -1 --warmup 8 --arch resnet50 -c fanin --label-smoothing 0.1 --lr-schedule cosine --mom 0.125 --wd 3.0517578125e-05 --workspace /workspace/rn50 -b 256 --epochs 1 --prof 150 --training-only --no-checkpoints --amp --dynamic-loss-scale /data/image
=> creating model '('resnet50', 'fanin', 1000)'
Version: {'net': <class 'image_classification.resnet.ResNet'>, 'block': <class 'image_classification.resnet.Bottleneck'>, 'layers': [3, 4, 6, 3], 'widths': [64, 128, 256, 512], 'expansion': 4}
Config: {'conv': <class 'torch.nn.modules.conv.Conv2d'>, 'conv_init': 'fan_in', 'nonlinearity': 'relu', 'last_bn_0_init': False, 'activation': <function <lambda> at 0x7f89946de9d8>}
Num classes: 1000
i'm distributed in dali~~~~~~~~~~~~~~~~~
rank in dali:  0
world_size in dali:  16
read 886372 files from 698 directories
read 50000 files from 1000 directories
DLL 2020-09-22 17:41:06.558571 - PARAMETER data : /data/image  data_backend : dali-cpu  arch : resnet50  model_config : fanin  num_classes : 1000  workers : 8  epochs : 1  run_epochs : -1  batch_size : 256  optimizer_batch_size : -1  lr : 2.048  lr_schedule : cosine  warmup : 8  label_smoothing : 0.1  mixup : 0.0  momentum : 0.125  weight_decay : 3.0517578125e-05  bn_weight_decay : False  nesterov : False  print_freq : 1  resume : None  pretrained_weights :   fp16 : False  static_loss_scale : 1  dynamic_loss_scale : True  prof : 150  amp : True  seed : None  gather_checkpoints : False  raport_file : /workspace/rn50/raport.json  evaluate : False  training_only : True  save_checkpoints : False  checkpoint_filename : checkpoint.pth.tar  workspace : /workspace/rn50  memory_format : nchw  distributed : True  local_rank : 0  gpu : 8  world_size : 16 
 ! Weight decay NOT applied to BN parameters 
98
63
Selected optimization level O3:  Pure FP16 training.
Defaults for this optimization level are:
enabled                : True
opt_level              : O3
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : False
master_weights         : False
loss_scale             : 1.0
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O3
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : False
master_weights         : False
loss_scale             : dynamic
VS002:166417:166417 [0] NCCL INFO Bootstrap : Using [0]ib0:10.11.0.2<0>
VS002:166417:166417 [0] NCCL INFO NET/Plugin : No plugin found (libnccl-net.so), using internal implementation
VS002:166417:166417 [0] NCCL INFO NET/IB : Using [0]mlx5_0:1/IB ; OOB ib0:10.11.0.2<0>
VS002:166417:166417 [0] NCCL INFO Using network IB
NCCL version 2.6.3+cuda10.2
VS002:166417:167208 [0] NCCL INFO Channel 00/02 :    0   3   2   6   7   4   5   1   8  11  10  14  15  12  13   9
VS002:166417:167208 [0] NCCL INFO Channel 01/02 :    0   3   2   6   7   4   5   1   8  11  10  14  15  12  13   9
VS002:166417:167208 [0] NCCL INFO threadThresholds 8/8/64 | 128/8/64 | 8/8/64
VS002:166417:167208 [0] NCCL INFO Trees [0] 1/-1/-1->0->-1|-1->0->1/-1/-1 [1] 1/-1/-1->0->9|9->0->1/-1/-1
VS002:166417:167208 [0] NCCL INFO Setting affinity for GPU 0 to 0f,ff000fff
VS002:166417:167208 [0] NCCL INFO Ring 00 : 9[1b000] -> 0[1a000] [receive] via NET/IB/0
VS002:166417:167208 [0] NCCL INFO Ring 00 : 0[1a000] -> 3[3e000] via P2P/IPC
VS002:166417:167208 [0] NCCL INFO Ring 00 : 0[1a000] -> 1[1b000] via P2P/IPC
VS002:166417:167208 [0] NCCL INFO Ring 01 : 9[1b000] -> 0[1a000] [receive] via NET/IB/0
VS002:166417:167208 [0] NCCL INFO Ring 01 : 0[1a000] -> 3[3e000] via P2P/IPC
VS002:166417:167208 [0] NCCL INFO Ring 01 : 0[1a000] -> 9[1b000] [send] via NET/IB/0
VS002:166417:167208 [0] NCCL INFO Ring 01 : 0[1a000] -> 1[1b000] via P2P/IPC
VS002:166417:167208 [0] NCCL INFO comm 0x7f87c8006880 rank 0 nranks 16 cudaDev 0 busId 1a000 - Init COMPLETE
VS002:166417:166417 [0] NCCL INFO Launch mode Parallel
RUNNING EPOCHS FROM 0 TO 1
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 32768.0
DLL 2020-09-22 17:41:26.755925 - Epoch: 0 Iteration: 1  train.loss : 7.07593  train.total_ips : 249.84 img/s
Warning:  unscaling grads that are not FP32. Unscaling non-fp32 grads may indicate an error. When using Amp, you don't need to call .half() on your model.
DLL 2020-09-22 17:41:27.547918 - Epoch: 0 Iteration: 2  train.loss : 7.08594  train.total_ips : 5172.15 img/s
DLL 2020-09-22 17:41:28.126141 - Epoch: 0 Iteration: 3  train.loss : 6.87988  train.total_ips : 7084.59 img/s
DLL 2020-09-22 17:41:28.488998 - Epoch: 0 Iteration: 4  train.loss : 6.81128  train.total_ips : 11291.02 img/s
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 16384.0
DLL 2020-09-22 17:41:28.893167 - Epoch: 0 Iteration: 5  train.loss : 6.78711  train.total_ips : 10137.25 img/s
DLL 2020-09-22 17:41:29.386560 - Epoch: 0 Iteration: 6  train.loss : 6.84204  train.total_ips : 8304.87 img/s
DLL 2020-09-22 17:41:29.772524 - Epoch: 0 Iteration: 7  train.loss : 6.81934  train.total_ips : 10614.81 img/s
DLL 2020-09-22 17:41:30.185837 - Epoch: 0 Iteration: 8  train.loss : 6.77295  train.total_ips : 9913.56 img/s
DLL 2020-09-22 17:41:30.643367 - Epoch: 0 Iteration: 9  train.loss : 6.76587  train.total_ips : 8954.00 img/s
DLL 2020-09-22 17:41:31.005971 - Epoch: 0 Iteration: 10  train.loss : 6.74707  train.total_ips : 11298.80 img/s
DLL 2020-09-22 17:41:31.456407 - Epoch: 0 Iteration: 11  train.loss : 6.73853  train.total_ips : 9095.31 img/s
DLL 2020-09-22 17:41:31.878797 - Epoch: 0 Iteration: 12  train.loss : 6.73462  train.total_ips : 9702.31 img/s
DLL 2020-09-22 17:41:32.351441 - Epoch: 0 Iteration: 13  train.loss : 6.71265  train.total_ips : 8667.03 img/s
DLL 2020-09-22 17:41:32.853860 - Epoch: 0 Iteration: 14  train.loss : 6.69897  train.total_ips : 8154.28 img/s
DLL 2020-09-22 17:41:33.237791 - Epoch: 0 Iteration: 15  train.loss : 6.69971  train.total_ips : 10671.53 img/s
DLL 2020-09-22 17:41:33.620319 - Epoch: 0 Iteration: 16  train.loss : 6.68213  train.total_ips : 10710.30 img/s
DLL 2020-09-22 17:41:33.988968 - Epoch: 0 Iteration: 17  train.loss : 6.67944  train.total_ips : 11114.65 img/s
DLL 2020-09-22 17:41:34.343656 - Epoch: 0 Iteration: 18  train.loss : 6.66895  train.total_ips : 11553.67 img/s
DLL 2020-09-22 17:41:34.798816 - Epoch: 0 Iteration: 19  train.loss : 6.68237  train.total_ips : 8999.79 img/s
DLL 2020-09-22 17:41:35.245832 - Epoch: 0 Iteration: 20  train.loss : 6.66699  train.total_ips : 9165.57 img/s
DLL 2020-09-22 17:41:35.632143 - Epoch: 0 Iteration: 21  train.loss : 6.67407  train.total_ips : 10604.74 img/s
DLL 2020-09-22 17:41:36.097934 - Epoch: 0 Iteration: 22  train.loss : 6.67944  train.total_ips : 8795.44 img/s
DLL 2020-09-22 17:41:36.570022 - Epoch: 0 Iteration: 23  train.loss : 6.66919  train.total_ips : 8680.79 img/s
DLL 2020-09-22 17:41:36.937372 - Epoch: 0 Iteration: 24  train.loss : 6.67065  train.total_ips : 11151.77 img/s
DLL 2020-09-22 17:41:37.301993 - Epoch: 0 Iteration: 25  train.loss : 6.69360  train.total_ips : 11236.91 img/s
DLL 2020-09-22 17:41:37.714946 - Epoch: 0 Iteration: 26  train.loss : 6.67065  train.total_ips : 9920.51 img/s
DLL 2020-09-22 17:41:38.084295 - Epoch: 0 Iteration: 27  train.loss : 6.66895  train.total_ips : 11092.14 img/s
DLL 2020-09-22 17:41:38.449561 - Epoch: 0 Iteration: 28  train.loss : 6.65967  train.total_ips : 11217.82 img/s
DLL 2020-09-22 17:41:38.805958 - Epoch: 0 Iteration: 29  train.loss : 6.66748  train.total_ips : 11494.78 img/s
DLL 2020-09-22 17:41:39.199861 - Epoch: 0 Iteration: 30  train.loss : 6.64282  train.total_ips : 10402.94 img/s
DLL 2020-09-22 17:41:39.595317 - Epoch: 0 Iteration: 31  train.loss : 6.64917  train.total_ips : 10359.00 img/s
DLL 2020-09-22 17:41:40.089100 - Epoch: 0 Iteration: 32  train.loss : 6.65625  train.total_ips : 8296.39 img/s
DLL 2020-09-22 17:41:40.536781 - Epoch: 0 Iteration: 33  train.loss : 6.66357  train.total_ips : 9150.88 img/s
