+ python /workspace/rn50/multiproc.py --nnodes 4 --node_rank 0 --nproc_per_node 8 --master_addr 10.11.0.2 --master_port=22333 /workspace/rn50/main.py --data-backend dali-cpu --raport-file /workspace/rn50/raport.json -j8 -p 1 --lr 2.048 --optimizer-batch-size -1 --warmup 8 --arch resnet50 -c fanin --label-smoothing 0.1 --lr-schedule cosine --mom 0.125 --wd 3.0517578125e-05 --workspace /workspace/rn50 -b 256 --epochs 1 --prof 150 --training-only --no-checkpoints --amp --dynamic-loss-scale /data/image
=> creating model '('resnet50', 'fanin', 1000)'
Version: {'net': <class 'image_classification.resnet.ResNet'>, 'block': <class 'image_classification.resnet.Bottleneck'>, 'layers': [3, 4, 6, 3], 'widths': [64, 128, 256, 512], 'expansion': 4}
Config: {'conv': <class 'torch.nn.modules.conv.Conv2d'>, 'conv_init': 'fan_in', 'nonlinearity': 'relu', 'last_bn_0_init': False, 'activation': <function <lambda> at 0x7ff5a3d069d8>}
Num classes: 1000
i'm distributed in dali~~~~~~~~~~~~~~~~~
rank in dali:  0
world_size in dali:  32
read 3545488 files from 2792 directories
read 50000 files from 1000 directories
DLL 2020-09-23 19:03:30.616914 - PARAMETER data : /data/image  data_backend : dali-cpu  arch : resnet50  model_config : fanin  num_classes : 1000  workers : 8  epochs : 1  run_epochs : -1  batch_size : 256  optimizer_batch_size : -1  lr : 2.048  lr_schedule : cosine  warmup : 8  label_smoothing : 0.1  mixup : 0.0  momentum : 0.125  weight_decay : 3.0517578125e-05  bn_weight_decay : False  nesterov : False  print_freq : 1  resume : None  pretrained_weights :   fp16 : False  static_loss_scale : 1  dynamic_loss_scale : True  prof : 150  amp : True  seed : None  gather_checkpoints : False  raport_file : /workspace/rn50/raport.json  evaluate : False  training_only : True  save_checkpoints : False  checkpoint_filename : checkpoint.pth.tar  workspace : /workspace/rn50  memory_format : nchw  distributed : True  local_rank : 0  gpu : 8  world_size : 32 
 ! Weight decay NOT applied to BN parameters 
98
63
Selected optimization level O3:  Pure FP16 training.
Defaults for this optimization level are:
enabled                : True
opt_level              : O3
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : False
master_weights         : False
loss_scale             : 1.0
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O3
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : False
master_weights         : False
loss_scale             : dynamic
RUNNING EPOCHS FROM 0 TO 1
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 32768.0
DLL 2020-09-23 19:03:50.687463 - Epoch: 0 Iteration: 1  train.loss : nan  train.total_ips : 484.43 img/s
Warning:  unscaling grads that are not FP32. Unscaling non-fp32 grads may indicate an error. When using Amp, you don't need to call .half() on your model.
DLL 2020-09-23 19:03:51.585054 - Epoch: 0 Iteration: 2  train.loss : 7.00964  train.total_ips : 9127.16 img/s
DLL 2020-09-23 19:03:52.073121 - Epoch: 0 Iteration: 3  train.loss : 6.95557  train.total_ips : 16788.24 img/s
DLL 2020-09-23 19:03:52.467450 - Epoch: 0 Iteration: 4  train.loss : 6.92651  train.total_ips : 20781.00 img/s
DLL 2020-09-23 19:03:52.859886 - Epoch: 0 Iteration: 5  train.loss : 6.91760  train.total_ips : 20878.77 img/s
DLL 2020-09-23 19:03:53.334713 - Epoch: 0 Iteration: 6  train.loss : 6.97009  train.total_ips : 17257.42 img/s
DLL 2020-09-23 19:03:53.711027 - Epoch: 0 Iteration: 7  train.loss : 6.89502  train.total_ips : 21774.63 img/s
DLL 2020-09-23 19:03:54.113059 - Epoch: 0 Iteration: 8  train.loss : 6.90576  train.total_ips : 20387.33 img/s
DLL 2020-09-23 19:03:54.640472 - Epoch: 0 Iteration: 9  train.loss : 6.90405  train.total_ips : 15534.81 img/s
DLL 2020-09-23 19:03:55.155323 - Epoch: 0 Iteration: 10  train.loss : 6.89600  train.total_ips : 15915.92 img/s
DLL 2020-09-23 19:03:55.587088 - Epoch: 0 Iteration: 11  train.loss : 6.89868  train.total_ips : 18978.92 img/s
DLL 2020-09-23 19:03:56.034673 - Epoch: 0 Iteration: 12  train.loss : 6.89868  train.total_ips : 18306.23 img/s
DLL 2020-09-23 19:03:56.468794 - Epoch: 0 Iteration: 13  train.loss : 6.89563  train.total_ips : 18879.63 img/s
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 16384.0
DLL 2020-09-23 19:03:56.860857 - Epoch: 0 Iteration: 14  train.loss : 6.89282  train.total_ips : 20896.77 img/s
DLL 2020-09-23 19:03:57.273262 - Epoch: 0 Iteration: 15  train.loss : 6.89392  train.total_ips : 19867.88 img/s
DLL 2020-09-23 19:03:57.671865 - Epoch: 0 Iteration: 16  train.loss : 6.90320  train.total_ips : 20558.70 img/s
DLL 2020-09-23 19:03:58.115048 - Epoch: 0 Iteration: 17  train.loss : 6.89856  train.total_ips : 18489.36 img/s
DLL 2020-09-23 19:03:58.585732 - Epoch: 0 Iteration: 18  train.loss : 6.90198  train.total_ips : 17410.29 img/s
DLL 2020-09-23 19:03:59.034857 - Epoch: 0 Iteration: 19  train.loss : 6.88989  train.total_ips : 18244.71 img/s
DLL 2020-09-23 19:03:59.458684 - Epoch: 0 Iteration: 20  train.loss : 6.89807  train.total_ips : 19333.03 img/s
DLL 2020-09-23 19:03:59.905952 - Epoch: 0 Iteration: 21  train.loss : 6.90137  train.total_ips : 18318.62 img/s
DLL 2020-09-23 19:04:00.308349 - Epoch: 0 Iteration: 22  train.loss : 6.90015  train.total_ips : 20362.17 img/s
DLL 2020-09-23 19:04:00.690240 - Epoch: 0 Iteration: 23  train.loss : 6.90320  train.total_ips : 21463.06 img/s
DLL 2020-09-23 19:04:01.091390 - Epoch: 0 Iteration: 24  train.loss : 6.90222  train.total_ips : 20424.77 img/s
DLL 2020-09-23 19:04:01.525524 - Epoch: 0 Iteration: 25  train.loss : 6.89893  train.total_ips : 18877.42 img/s
DLL 2020-09-23 19:04:01.948661 - Epoch: 0 Iteration: 26  train.loss : 6.90015  train.total_ips : 19364.13 img/s
DLL 2020-09-23 19:04:02.377830 - Epoch: 0 Iteration: 27  train.loss : 6.89539  train.total_ips : 19093.11 img/s
DLL 2020-09-23 19:04:02.807394 - Epoch: 0 Iteration: 28  train.loss : 6.89758  train.total_ips : 19073.70 img/s
DLL 2020-09-23 19:04:03.185480 - Epoch: 0 Iteration: 29  train.loss : 6.89795  train.total_ips : 21674.94 img/s
DLL 2020-09-23 19:04:03.630591 - Epoch: 0 Iteration: 30  train.loss : 6.89551  train.total_ips : 18407.88 img/s
DLL 2020-09-23 19:04:04.026309 - Epoch: 0 Iteration: 31  train.loss : 6.88550  train.total_ips : 20709.38 img/s
DLL 2020-09-23 19:04:04.437643 - Epoch: 0 Iteration: 32  train.loss : 6.88892  train.total_ips : 19919.68 img/s
DLL 2020-09-23 19:04:04.831188 - Epoch: 0 Iteration: 33  train.loss : 6.90210  train.total_ips : 20822.68 img/s
DLL 2020-09-23 19:04:05.240193 - Epoch: 0 Iteration: 34  train.loss : 6.89648  train.total_ips : 20033.02 img/s
DLL 2020-09-23 19:04:05.681972 - Epoch: 0 Iteration: 35  train.loss : 6.89490  train.total_ips : 18548.82 img/s
DLL 2020-09-23 19:04:06.049946 - Epoch: 0 Iteration: 36  train.loss : 6.90698  train.total_ips : 22267.72 img/s
DLL 2020-09-23 19:04:06.439422 - Epoch: 0 Iteration: 37  train.loss : 6.89380  train.total_ips : 21040.07 img/s
DLL 2020-09-23 19:04:06.880492 - Epoch: 0 Iteration: 38  train.loss : 6.89954  train.total_ips : 18579.65 img/s
DLL 2020-09-23 19:04:07.323948 - Epoch: 0 Iteration: 39  train.loss : 6.90002  train.total_ips : 18476.13 img/s
DLL 2020-09-23 19:04:07.733370 - Epoch: 0 Iteration: 40  train.loss : 6.89258  train.total_ips : 20011.88 img/s
DLL 2020-09-23 19:04:08.174065 - Epoch: 0 Iteration: 41  train.loss : 6.89929  train.total_ips : 18591.98 img/s
DLL 2020-09-23 19:04:08.584546 - Epoch: 0 Iteration: 42  train.loss : 6.89758  train.total_ips : 19961.26 img/s
DLL 2020-09-23 19:04:09.049459 - Epoch: 0 Iteration: 43  train.loss : 6.88879  train.total_ips : 17623.62 img/s
DLL 2020-09-23 19:04:09.504658 - Epoch: 0 Iteration: 44  train.loss : 6.89209  train.total_ips : 18002.15 img/s
DLL 2020-09-23 19:04:09.912991 - Epoch: 0 Iteration: 45  train.loss : 6.89417  train.total_ips : 20065.73 img/s
DLL 2020-09-23 19:04:10.364519 - Epoch: 0 Iteration: 46  train.loss : 6.89124  train.total_ips : 18146.08 img/s
DLL 2020-09-23 19:04:10.769576 - Epoch: 0 Iteration: 47  train.loss : 6.88232  train.total_ips : 20230.19 img/s
DLL 2020-09-23 19:04:11.202312 - Epoch: 0 Iteration: 48  train.loss : 6.89648  train.total_ips : 18935.37 img/s
DLL 2020-09-23 19:04:11.607955 - Epoch: 0 Iteration: 49  train.loss : 6.89355  train.total_ips : 20199.30 img/s
DLL 2020-09-23 19:04:12.121306 - Epoch: 0 Iteration: 50  train.loss : 6.89026  train.total_ips : 15966.24 img/s
DLL 2020-09-23 19:04:12.551163 - Epoch: 0 Iteration: 51  train.loss : 6.88904  train.total_ips : 19060.85 img/s
DLL 2020-09-23 19:04:13.016050 - Epoch: 0 Iteration: 52  train.loss : 6.89172  train.total_ips : 17630.57 img/s
DLL 2020-09-23 19:04:13.488330 - Epoch: 0 Iteration: 53  train.loss : 6.88757  train.total_ips : 17350.20 img/s
DLL 2020-09-23 19:04:13.959251 - Epoch: 0 Iteration: 54  train.loss : 6.88696  train.total_ips : 17400.74 img/s
