+ python /workspace/rn50/multiproc.py --nnodes 4 --node_rank 0 --nproc_per_node 8 --master_addr 10.11.0.2 --master_port=22333 /workspace/rn50/main.py --data-backend dali-cpu --raport-file /workspace/rn50/raport.json -j8 -p 1 --lr 2.048 --optimizer-batch-size -1 --warmup 8 --arch resnet50 -c fanin --label-smoothing 0.1 --lr-schedule cosine --mom 0.125 --wd 3.0517578125e-05 --workspace /workspace/rn50 -b 256 --epochs 1 --prof 150 --training-only --no-checkpoints --amp --dynamic-loss-scale /data/image
=> creating model '('resnet50', 'fanin', 1000)'
Version: {'net': <class 'image_classification.resnet.ResNet'>, 'block': <class 'image_classification.resnet.Bottleneck'>, 'layers': [3, 4, 6, 3], 'widths': [64, 128, 256, 512], 'expansion': 4}
Config: {'conv': <class 'torch.nn.modules.conv.Conv2d'>, 'conv_init': 'fan_in', 'nonlinearity': 'relu', 'last_bn_0_init': False, 'activation': <function <lambda> at 0x7fbfed1649d8>}
Num classes: 1000
i'm distributed in dali~~~~~~~~~~~~~~~~~
rank in dali:  0
world_size in dali:  32
read 3545488 files from 2792 directories
read 50000 files from 1000 directories
DLL 2020-09-23 19:05:51.495836 - PARAMETER data : /data/image  data_backend : dali-cpu  arch : resnet50  model_config : fanin  num_classes : 1000  workers : 8  epochs : 1  run_epochs : -1  batch_size : 256  optimizer_batch_size : -1  lr : 2.048  lr_schedule : cosine  warmup : 8  label_smoothing : 0.1  mixup : 0.0  momentum : 0.125  weight_decay : 3.0517578125e-05  bn_weight_decay : False  nesterov : False  print_freq : 1  resume : None  pretrained_weights :   fp16 : False  static_loss_scale : 1  dynamic_loss_scale : True  prof : 150  amp : True  seed : None  gather_checkpoints : False  raport_file : /workspace/rn50/raport.json  evaluate : False  training_only : True  save_checkpoints : False  checkpoint_filename : checkpoint.pth.tar  workspace : /workspace/rn50  memory_format : nchw  distributed : True  local_rank : 0  gpu : 8  world_size : 32 
 ! Weight decay NOT applied to BN parameters 
98
63
Selected optimization level O3:  Pure FP16 training.
Defaults for this optimization level are:
enabled                : True
opt_level              : O3
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : False
master_weights         : False
loss_scale             : 1.0
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O3
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : False
master_weights         : False
loss_scale             : dynamic
RUNNING EPOCHS FROM 0 TO 1
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 32768.0
DLL 2020-09-23 19:06:12.289066 - Epoch: 0 Iteration: 1  train.loss : 10.79544  train.total_ips : 485.18 img/s
Warning:  unscaling grads that are not FP32. Unscaling non-fp32 grads may indicate an error. When using Amp, you don't need to call .half() on your model.
DLL 2020-09-23 19:06:12.953270 - Epoch: 0 Iteration: 2  train.loss : 6.91138  train.total_ips : 12334.98 img/s
DLL 2020-09-23 19:06:13.408525 - Epoch: 0 Iteration: 3  train.loss : 6.96289  train.total_ips : 18001.07 img/s
DLL 2020-09-23 19:06:13.848540 - Epoch: 0 Iteration: 4  train.loss : 6.93433  train.total_ips : 18619.90 img/s
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 16384.0
DLL 2020-09-23 19:06:14.247026 - Epoch: 0 Iteration: 5  train.loss : 6.92126  train.total_ips : 20564.88 img/s
DLL 2020-09-23 19:06:14.652328 - Epoch: 0 Iteration: 6  train.loss : 6.91687  train.total_ips : 20217.81 img/s
DLL 2020-09-23 19:06:15.074966 - Epoch: 0 Iteration: 7  train.loss : 6.89685  train.total_ips : 19386.66 img/s
DLL 2020-09-23 19:06:15.526715 - Epoch: 0 Iteration: 8  train.loss : 6.90930  train.total_ips : 18141.54 img/s
DLL 2020-09-23 19:06:15.938658 - Epoch: 0 Iteration: 9  train.loss : 6.90125  train.total_ips : 19893.02 img/s
DLL 2020-09-23 19:06:16.363335 - Epoch: 0 Iteration: 10  train.loss : 6.89807  train.total_ips : 19300.07 img/s
DLL 2020-09-23 19:06:16.757377 - Epoch: 0 Iteration: 11  train.loss : 6.89697  train.total_ips : 20789.76 img/s
DLL 2020-09-23 19:06:17.169054 - Epoch: 0 Iteration: 12  train.loss : 6.90271  train.total_ips : 19905.59 img/s
DLL 2020-09-23 19:06:17.592803 - Epoch: 0 Iteration: 13  train.loss : 6.89771  train.total_ips : 19335.58 img/s
DLL 2020-09-23 19:06:17.991459 - Epoch: 0 Iteration: 14  train.loss : 6.89270  train.total_ips : 20553.97 img/s
DLL 2020-09-23 19:06:18.372314 - Epoch: 0 Iteration: 15  train.loss : 6.83496  train.total_ips : 21514.09 img/s
DLL 2020-09-23 19:06:18.806794 - Epoch: 0 Iteration: 16  train.loss : 6.90417  train.total_ips : 18862.59 img/s
DLL 2020-09-23 19:06:19.264720 - Epoch: 0 Iteration: 17  train.loss : 6.89587  train.total_ips : 17891.74 img/s
DLL 2020-09-23 19:06:19.668187 - Epoch: 0 Iteration: 18  train.loss : 6.90369  train.total_ips : 20307.52 img/s
